,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
73,0.00564279556274414,0.0007082560820495748,0.019762706756591798,0.004158488535952,ball_tree,38,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 38, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
72,0.004401588439941406,0.0004336079468405188,0.01662025451660156,0.0013094970294418066,ball_tree,37,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 37, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
71,0.004982995986938477,0.001142480321436492,0.01641817092895508,0.0020973627868326465,ball_tree,36,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 36, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
70,0.005804300308227539,0.0010570292262034081,0.020071744918823242,0.0014864502484412511,ball_tree,35,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 35, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
69,0.005903387069702148,0.001118147658332257,0.018386077880859376,0.001097055710951686,ball_tree,34,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 34, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
68,0.006026601791381836,0.0007491746792990376,0.018042516708374024,0.001238961643341601,ball_tree,33,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 33, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
67,0.0058802604675292965,0.0006313676298458073,0.017451715469360352,0.0009355842685728314,ball_tree,32,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 32, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
66,0.004408597946166992,0.00048168663248477565,0.017344093322753905,0.0021695284335903025,ball_tree,31,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 31, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
65,0.005595111846923828,0.0012874594494145545,0.017602825164794923,0.0013185746671276189,ball_tree,30,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
64,0.004809761047363281,0.0005807376551908703,0.016199159622192382,0.0006639893546901486,ball_tree,29,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 29, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
63,0.005608463287353515,0.0009424877755876678,0.016121530532836915,0.0016497566118446137,ball_tree,28,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 28, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
62,0.005162334442138672,0.001027195923553027,0.015494203567504883,0.001301017969322236,ball_tree,27,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 27, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
74,0.005899477005004883,0.0011814595086717806,0.019266843795776367,0.0035966420041826912,ball_tree,39,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 39, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
61,0.006036138534545899,0.00105422266052821,0.017996549606323242,0.0021400626701601295,ball_tree,26,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 26, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
89,0.006651973724365235,0.0011290502322565989,0.01791977882385254,0.002921372711734484,kd_tree,14,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 14, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
91,0.005477142333984375,0.0008735894554973958,0.013259315490722656,0.0011858144084593814,kd_tree,16,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 16, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
117,0.005712461471557617,0.0009537269863843038,0.015040111541748048,0.0017636999871201904,kd_tree,42,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 42, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
116,0.005643320083618164,0.0009079219585537853,0.014779996871948243,0.0008978380311828926,kd_tree,41,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 41, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
115,0.006085062026977539,0.0009168601963529607,0.017614221572875975,0.0022624008320777946,kd_tree,40,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
114,0.006347084045410156,0.0005558712805057771,0.015683412551879883,0.0004505620909570108,kd_tree,39,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 39, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
