,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dl_allowance,param_k,param_prune_size,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
81,4.465573000907898,0.4240067090336798,1.0829824924468994,0.11997260009302847,160,0,0.4,69,"{'dl_allowance': 160, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.8215767634854771,0.8049792531120332,0.7966804979253111,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.8192534549569631,0.02639014106295417,1
121,4.615833306312561,0.3737713114113547,1.0666975498199462,0.1312849350482193,256,0,0.4,69,"{'dl_allowance': 256, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.8215767634854771,0.8049792531120332,0.7966804979253111,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.8192534549569631,0.02639014106295417,1
101,4.564971828460694,0.43129489527071485,1.1274079084396362,0.15761390534213152,200,0,0.4,69,"{'dl_allowance': 200, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.8215767634854771,0.8049792531120332,0.7966804979253111,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.8192534549569631,0.02639014106295417,1
61,4.427655529975891,0.5780944745767695,1.091526484489441,0.26683488299117536,128,0,0.4,69,"{'dl_allowance': 128, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.8215767634854771,0.8049792531120332,0.7966804979253111,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.8192534549569631,0.02639014106295417,1
120,4.764391493797302,0.43077574829001825,1.11352858543396,0.10507002410410332,256,0,0.2,69,"{'dl_allowance': 256, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7925311203319502,0.8174273858921162,0.8091286307053942,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8163420321662496,0.024320462184333903,5
80,4.403065729141235,0.2534660134260469,1.1321534872055055,0.14052741077408912,160,0,0.2,69,"{'dl_allowance': 160, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7925311203319502,0.8174273858921162,0.8091286307053942,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8163420321662496,0.024320462184333903,5
40,4.292344355583191,0.2862545349283665,1.0850507497787476,0.08528001606879726,64,0,0.2,69,"{'dl_allowance': 64, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7925311203319502,0.8174273858921162,0.8091286307053942,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8163420321662496,0.024320462184333903,5
100,4.7061563491821286,0.31634243136480095,1.0850364685058593,0.12039460985600169,200,0,0.2,69,"{'dl_allowance': 200, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7925311203319502,0.8174273858921162,0.8091286307053942,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8163420321662496,0.024320462184333903,5
60,4.370028281211853,0.2754606677240244,1.09540696144104,0.09865761543684591,128,0,0.2,69,"{'dl_allowance': 128, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7925311203319502,0.8174273858921162,0.8091286307053942,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8163420321662496,0.024320462184333903,5
20,3.942533278465271,0.44481043710805407,1.0101990938186645,0.13671900494908634,32,0,0.2,69,"{'dl_allowance': 32, 'k': 0, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7768595041322314,0.7966804979253111,0.8174273858921162,0.8049792531120332,0.8008298755186722,0.8257261410788381,0.8381742738589212,0.8589211618257261,0.8008298755186722,0.8159270944069134,0.023322203929219944,10
125,11.085418367385865,1.1741861188975466,1.0160284757614135,0.24154680888552135,256,1,0.2,69,"{'dl_allowance': 256, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7925311203319502,0.8257261410788381,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8142742018449299,0.03050615845758193,11
65,10.448268294334412,1.1490610044687524,0.933019495010376,0.21940124518747314,128,1,0.2,69,"{'dl_allowance': 128, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7925311203319502,0.8257261410788381,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8142742018449299,0.03050615845758193,11
105,10.788228487968444,1.173224200104914,1.0080514430999756,0.22119271162571782,200,1,0.2,69,"{'dl_allowance': 200, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7925311203319502,0.8257261410788381,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8142742018449299,0.03050615845758193,11
85,10.558770728111266,1.0138975074907242,0.9948966026306152,0.18170562840247612,160,1,0.2,69,"{'dl_allowance': 160, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7925311203319502,0.8257261410788381,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8142742018449299,0.03050615845758193,11
45,10.27307300567627,0.9723891428663002,1.0085017442703248,0.24208152408944442,64,1,0.2,69,"{'dl_allowance': 64, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7925311203319502,0.8257261410788381,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8142742018449299,0.03050615845758193,11
25,9.446644973754882,1.5125001450174222,0.9622792482376099,0.20036249439362416,32,1,0.2,69,"{'dl_allowance': 32, 'k': 1, 'prune_size': 0.2, 'random_state': 69}",0.8471074380165289,0.7520661157024794,0.7966804979253111,0.8215767634854771,0.8132780082987552,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8130293885669216,0.02986563952941946,16
75,17.17397005558014,5.658677979462696,0.9287017345428467,0.23303919444623108,128,5,0.2,69,"{'dl_allowance': 128, 'k': 5, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
70,16.653693079948425,4.930985975484404,0.9016279458999634,0.21842703957501947,128,3,0.2,69,"{'dl_allowance': 128, 'k': 3, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
