,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,10.378139209747314,1.5001484548870878,0.020902299880981447,0.009007268484699849,tanh,0.0007121027567912537,1714,True,"(100, 100)",invscaling,0.003620550376539456,5000,50,69,adam,0.0002925892488379648,0.2,"{'activation': 'tanh', 'alpha': 0.0007121027567912537, 'batch_size': 1714, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.003620550376539456, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002925892488379648, 'validation_fraction': 0.2}",0.8364389233954451,0.8364389233954451,0.8734439834024896,0.8402489626556017,0.8651452282157677,0.8503432042129498,0.01575625384706672,12
28,13.00400915145874,4.431503233843781,0.013928699493408202,0.005427636502917539,tanh,0.0007082850146003734,2322,True,"(100, 100)",adaptive,0.0014743469871086503,5000,50,69,adam,0.00030117255971830485,0.2,"{'activation': 'tanh', 'alpha': 0.0007082850146003734, 'batch_size': 2322, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0014743469871086503, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00030117255971830485, 'validation_fraction': 0.2}",0.8530020703933747,0.8260869565217391,0.8900414937759336,0.8132780082987552,0.8651452282157677,0.8495107514411142,0.02742572912540418,13
69,13.212769842147827,4.578723173269658,0.007986974716186524,0.003176657584350498,logistic,0.00026702921805937406,1932,True,"(100, 100)",invscaling,0.0016834260601930665,5000,50,69,adam,0.0001530338486574063,0.2,"{'activation': 'logistic', 'alpha': 0.00026702921805937406, 'batch_size': 1932, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0016834260601930665, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0001530338486574063, 'validation_fraction': 0.2}",0.8260869565217391,0.8322981366459627,0.8817427385892116,0.8423236514522822,0.8630705394190872,0.8491044045256565,0.0205841975272531,14
43,8.625390672683716,1.7950845817156857,0.008135128021240234,0.005058245249187978,logistic,0.0004636707471222646,1566,True,"(100, 100)",invscaling,0.003482752893818364,5000,50,69,adam,0.00023484974753670992,0.2,"{'activation': 'logistic', 'alpha': 0.0004636707471222646, 'batch_size': 1566, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.003482752893818364, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00023484974753670992, 'validation_fraction': 0.2}",0.8322981366459627,0.8302277432712215,0.8692946058091287,0.8360995850622407,0.8775933609958506,0.8491026863568809,0.020135387571645933,15
37,11.564702606201172,1.791581628360031,0.010447359085083008,0.0064819662302977215,tanh,0.0004125081924720685,1953,True,"(100, 100)",adaptive,0.003454291500237815,5000,50,69,adam,0.00010018190173187738,0.2,"{'activation': 'tanh', 'alpha': 0.0004125081924720685, 'batch_size': 1953, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.003454291500237815, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00010018190173187738, 'validation_fraction': 0.2}",0.8364389233954451,0.8426501035196687,0.8713692946058091,0.8298755186721992,0.8651452282157677,0.8490958136817781,0.01627793261336613,16
82,14.68503360748291,3.58815102270768,0.015476512908935546,0.005742316628925594,tanh,0.00021913577334225782,1753,True,"(100, 100)",invscaling,0.0034964746932862937,5000,50,69,adam,0.00016892436942985437,0.2,"{'activation': 'tanh', 'alpha': 0.00021913577334225782, 'batch_size': 1753, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0034964746932862937, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00016892436942985437, 'validation_fraction': 0.2}",0.8364389233954451,0.8281573498964804,0.8775933609958506,0.8464730290456431,0.8547717842323651,0.8486868895131569,0.01702343024414621,17
79,9.626288795471192,3.7630447516090735,0.009004783630371094,0.004850466393240238,logistic,0.0004424206867460194,2079,True,"(100, 100)",adaptive,0.005393393279454454,5000,50,69,adam,0.0005166094681922667,0.2,"{'activation': 'logistic', 'alpha': 0.0004424206867460194, 'batch_size': 2079, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005393393279454454, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005166094681922667, 'validation_fraction': 0.2}",0.8343685300207039,0.8322981366459627,0.8692946058091287,0.8381742738589212,0.8692946058091287,0.848686030428769,0.01693208590322619,18
80,7.350111865997315,1.3024355491532609,0.011823797225952148,0.005691797992182825,logistic,0.0004915208293225831,1557,True,"(100, 100)",adaptive,0.005323672882468322,5000,50,69,adam,0.0005285235819158089,0.2,"{'activation': 'logistic', 'alpha': 0.0004915208293225831, 'batch_size': 1557, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005323672882468322, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005285235819158089, 'validation_fraction': 0.2}",0.8385093167701864,0.8343685300207039,0.8630705394190872,0.8298755186721992,0.8775933609958506,0.8486834531756055,0.018465857670650898,19
74,11.902266025543213,6.362708724849914,0.01100606918334961,0.0069488877680799165,logistic,0.0009956372110553652,1002,True,"(100, 100)",invscaling,0.0026088980081732487,5000,50,69,adam,0.00046918395404830447,0.2,"{'activation': 'logistic', 'alpha': 0.0009956372110553652, 'batch_size': 1002, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0026088980081732487, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00046918395404830447, 'validation_fraction': 0.2}",0.8405797101449275,0.8364389233954451,0.8547717842323651,0.8360995850622407,0.8755186721991701,0.8486817350068296,0.015040941710397823,20
63,9.104984235763549,3.4308606951710665,0.012384796142578125,0.005416001875731358,logistic,0.0007223578333356164,1617,True,"(100, 100)",adaptive,0.0034304749487837753,5000,50,69,adam,0.00029392490555233075,0.2,"{'activation': 'logistic', 'alpha': 0.0007223578333356164, 'batch_size': 1617, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0034304749487837753, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00029392490555233075, 'validation_fraction': 0.2}",0.855072463768116,0.8260869565217391,0.8506224066390041,0.8319502074688797,0.8796680497925311,0.848680016838054,0.018948495128984815,21
72,10.013544988632201,4.4382254751000865,0.011699056625366211,0.009277350316557083,logistic,0.000639129664833624,2235,True,"(100, 100)",invscaling,0.0028374522593541717,5000,50,69,adam,0.0005391314256619328,0.2,"{'activation': 'logistic', 'alpha': 0.000639129664833624, 'batch_size': 2235, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0028374522593541717, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005391314256619328, 'validation_fraction': 0.2}",0.8260869565217391,0.8322981366459627,0.8713692946058091,0.8298755186721992,0.8755186721991701,0.847029715728976,0.021697561166252325,22
46,11.516651725769043,3.6089227261219303,0.008483457565307616,0.002767305652205877,tanh,0.0008850129496832051,1557,True,"(100, 100)",invscaling,0.0017056344565943723,5000,50,69,adam,0.000464069759461829,0.2,"{'activation': 'tanh', 'alpha': 0.0008850129496832051, 'batch_size': 1557, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0017056344565943723, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.000464069759461829, 'validation_fraction': 0.2}",0.8612836438923396,0.855072463768116,0.8526970954356846,0.8195020746887967,0.8464730290456431,0.8470056613661159,0.014546872413587294,23
21,9.203717470169067,3.247182562423909,0.011049652099609375,0.005188673388337417,logistic,0.0005876537875325785,2161,True,"(100, 100)",adaptive,0.002984473717780556,5000,50,69,adam,0.0005774310942826524,0.2,"{'activation': 'logistic', 'alpha': 0.0005876537875325785, 'batch_size': 2161, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.002984473717780556, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005774310942826524, 'validation_fraction': 0.2}",0.8240165631469979,0.8302277432712215,0.8838174273858921,0.8360995850622407,0.8589211618257261,0.8466164961384157,0.02202393104647148,24
64,11.57658405303955,3.3271917888878586,0.008567619323730468,0.006091457129117672,logistic,0.0009137747369648143,1702,True,"(100, 100)",adaptive,0.0010501037605391336,5000,50,69,adam,0.0002154776895131463,0.2,"{'activation': 'logistic', 'alpha': 0.0009137747369648143, 'batch_size': 1702, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0010501037605391336, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002154776895131463, 'validation_fraction': 0.2}",0.8260869565217391,0.8385093167701864,0.8692946058091287,0.8340248962655602,0.8651452282157677,0.8466122007164764,0.0173398224899643,25
6,11.264994621276855,4.793015423008431,0.010482597351074218,0.004328993870326539,tanh,0.00026462835134514464,1694,True,"(100, 100)",invscaling,0.0030826138237102134,5000,50,69,adam,0.00030849269492268407,0.2,"{'activation': 'tanh', 'alpha': 0.00026462835134514464, 'batch_size': 1694, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0030826138237102134, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00030849269492268407, 'validation_fraction': 0.2}",0.8488612836438924,0.8488612836438924,0.8526970954356846,0.8319502074688797,0.8506224066390041,0.8465984553662705,0.007459189562318709,26
92,8.590316915512085,2.350085965435351,0.005923843383789063,0.0014937655019262423,logistic,0.0004166968196580747,1907,True,"(100, 100)",invscaling,0.0025000011848689534,5000,50,69,adam,0.000314680099576386,0.2,"{'activation': 'logistic', 'alpha': 0.0004166968196580747, 'batch_size': 1907, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0025000011848689534, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.000314680099576386, 'validation_fraction': 0.2}",0.8240165631469979,0.8302277432712215,0.8609958506224067,0.8423236514522822,0.8713692946058091,0.8457866206197435,0.017965523135823322,27
