,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39,125.6882246017456,16.556064877993435,0.0075185298919677734,0.0016501962375483604,logistic,0.0018420782066060758,1408,False,"(500,)",adaptive,0.04211932206981758,5000,50,69,sgd,0.00012405636970381841,0.2,"{'activation': 'logistic', 'alpha': 0.0018420782066060758, 'batch_size': 1408, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.04211932206981758, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00012405636970381841, 'validation_fraction': 0.2}",0.84472049689441,0.8405797101449275,0.8651452282157677,0.8526970954356846,0.8589211618257261,0.8524127385033031,0.008986076656545692,19
738,3.229866075515747,0.5598302578986012,0.005233955383300781,0.001558613034438799,tanh,0.00012650663048691216,2049,False,"(50,)",adaptive,0.002388140060746945,5000,10,69,adam,0.00023760279508101232,0.2,"{'activation': 'tanh', 'alpha': 0.00012650663048691216, 'batch_size': 2049, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.002388140060746945, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00023760279508101232, 'validation_fraction': 0.2}",0.8240165631469979,0.8240165631469979,0.8672199170124482,0.8423236514522822,0.8651452282157677,0.8445443845948988,0.018901264988329974,20
678,8.368544864654542,1.8782064489885346,0.005030012130737305,0.0010357705303862526,relu,0.0017560397831536956,580,False,"(200,)",adaptive,0.010526049049214635,5000,50,69,adam,0.00036999219218206364,0.2,"{'activation': 'relu', 'alpha': 0.0017560397831536956, 'batch_size': 580, 'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.010526049049214635, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00036999219218206364, 'validation_fraction': 0.2}",0.8343685300207039,0.8467908902691511,0.8381742738589212,0.8485477178423236,0.8547717842323651,0.8445306392446931,0.007345727337838649,21
868,0.9504782199859619,0.30121827683426833,0.0035596370697021486,0.0007140969012353875,logistic,0.00013889872776981274,982,False,"(50,)",invscaling,0.009608430036769644,5000,10,69,adam,0.00015818826911822174,0.2,"{'activation': 'logistic', 'alpha': 0.00013889872776981274, 'batch_size': 982, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.009608430036769644, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00015818826911822174, 'validation_fraction': 0.2}",0.8405797101449275,0.8260869565217391,0.8630705394190872,0.8174273858921162,0.8692946058091287,0.8432918395573996,0.02019739800362971,22
670,372.2199116230011,72.0396193589134,0.036929988861083986,0.00508876431408988,tanh,0.0012248863647544728,1645,False,"(500, 500)",constant,0.0011683496946394136,5000,50,69,sgd,0.00019068296430600304,0.2,"{'activation': 'tanh', 'alpha': 0.0012248863647544728, 'batch_size': 1645, 'early_stopping': False, 'hidden_layer_sizes': (500, 500), 'learning_rate': 'constant', 'learning_rate_init': 0.0011683496946394136, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00019068296430600304, 'validation_fraction': 0.2}",0.8405797101449275,0.8343685300207039,0.8630705394190872,0.8464730290456431,0.8278008298755186,0.8424585277011761,0.012039911723364332,23
595,5.05762677192688,0.7744538365668945,0.0037240028381347657,0.0007003039926158438,logistic,0.004040700076926222,864,False,"(100,)",constant,0.013543908723840137,5000,50,69,adam,0.00023410556858528923,0.2,"{'activation': 'logistic', 'alpha': 0.004040700076926222, 'batch_size': 864, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.013543908723840137, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00023410556858528923, 'validation_fraction': 0.2}",0.8302277432712215,0.8343685300207039,0.8485477178423236,0.8506224066390041,0.8464730290456431,0.8420478853637793,0.008173620880944258,24
516,3.4166425704956054,0.6296664375174208,0.0024968624114990235,0.0005116058202078073,relu,0.000504826560126923,292,False,"(100,)",invscaling,0.0027719036664901825,5000,50,69,adam,0.0003439129415369806,0.2,"{'activation': 'relu', 'alpha': 0.000504826560126923, 'batch_size': 292, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0027719036664901825, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003439129415369806, 'validation_fraction': 0.2}",0.8322981366459627,0.8322981366459627,0.8672199170124482,0.8298755186721992,0.8485477178423236,0.8420478853637793,0.014241914973528986,24
423,10.88080883026123,1.6739397318193752,0.0072100162506103516,0.0032790734293643257,relu,0.0020846032643106758,801,False,"(100, 100)",adaptive,0.0025320867548304753,5000,25,69,sgd,0.00021592386145326758,0.2,"{'activation': 'relu', 'alpha': 0.0020846032643106758, 'batch_size': 801, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0025320867548304753, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00021592386145326758, 'validation_fraction': 0.2}",0.8260869565217391,0.8322981366459627,0.8568464730290456,0.8360995850622407,0.8526970954356846,0.8408056493389345,0.011915361902800523,26
499,61.91727213859558,12.458000848001282,0.008872318267822265,0.0007369033081091413,logistic,0.007438856928426999,1240,False,"(500,)",adaptive,0.0634504074893922,5000,50,69,sgd,0.0005031657994178356,0.2,"{'activation': 'logistic', 'alpha': 0.007438856928426999, 'batch_size': 1240, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0634504074893922, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0005031657994178356, 'validation_fraction': 0.2}",0.8260869565217391,0.8219461697722568,0.8651452282157677,0.8215767634854771,0.8651452282157677,0.8399800692422016,0.02060821305334718,27
3,13.203143835067749,2.3377285581316327,0.004799890518188477,0.002262539814740888,relu,0.004847299721611674,845,False,"(100, 100)",adaptive,0.0011193787398431345,5000,25,69,sgd,0.00011528669273646993,0.2,"{'activation': 'relu', 'alpha': 0.004847299721611674, 'batch_size': 845, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0011193787398431345, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00011528669273646993, 'validation_fraction': 0.2}",0.8343685300207039,0.8322981366459627,0.8568464730290456,0.8278008298755186,0.8485477178423236,0.8399723374827108,0.010924424128841202,28
