,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
5190,0.40738091468811033,0.04415379779555458,0.016913414001464844,0.006030534157692412,False,entropy,,10,20,70,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 70, 'random_state': 69}",0.9173553719008265,0.8966942148760331,0.9253112033195021,0.9045643153526971,0.8962655601659751,0.941908713692946,0.9087136929460581,0.9087136929460581,0.9087136929460581,0.9336099585062241,0.9141850416652378,0.014453975356670824,1
5181,0.42609410285949706,0.031603958159644834,0.017685794830322267,0.00604064379854141,False,entropy,,10,10,70,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 70, 'random_state': 69}",0.9173553719008265,0.8966942148760331,0.9253112033195021,0.9045643153526971,0.8962655601659751,0.941908713692946,0.9087136929460581,0.9087136929460581,0.9087136929460581,0.9336099585062241,0.9141850416652378,0.014453975356670824,1
5179,0.2999823331832886,0.019372562994395378,0.011244463920593261,0.0025882173102527474,False,entropy,,10,10,50,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 69}",0.9090909090909091,0.8925619834710744,0.9253112033195021,0.9128630705394191,0.8962655601659751,0.941908713692946,0.9004149377593361,0.9087136929460581,0.9087136929460581,0.9336099585062241,0.9129453722437504,0.015232210567728737,3
5188,0.30171172618865966,0.031677381378392176,0.014214372634887696,0.005326629858815284,False,entropy,,10,20,50,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 50, 'random_state': 69}",0.9090909090909091,0.8925619834710744,0.9253112033195021,0.9128630705394191,0.8962655601659751,0.941908713692946,0.9004149377593361,0.9087136929460581,0.9087136929460581,0.9336099585062241,0.9129453722437504,0.015232210567728737,3
5176,0.1339512825012207,0.0173886814591614,0.008143043518066407,0.004531799880039341,False,entropy,,10,10,20,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 69}",0.9132231404958677,0.8925619834710744,0.921161825726141,0.9045643153526971,0.8796680497925311,0.941908713692946,0.91701244813278,0.9253112033195021,0.9087136929460581,0.9253112033195021,0.91294365762491,0.016851833715886638,5
5180,0.3639462947845459,0.03427005966427092,0.013679695129394532,0.005329776604109907,False,entropy,,10,10,60,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 60, 'random_state': 69}",0.9173553719008265,0.8884297520661157,0.921161825726141,0.9087136929460581,0.8921161825726142,0.950207468879668,0.9045643153526971,0.9087136929460581,0.9087136929460581,0.9294605809128631,0.91294365762491,0.01704995119403619,5
5189,0.35212666988372804,0.03947955617428874,0.013177180290222168,0.0037262219041590285,False,entropy,,10,20,60,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 60, 'random_state': 69}",0.9173553719008265,0.8884297520661157,0.921161825726141,0.9087136929460581,0.8921161825726142,0.950207468879668,0.9045643153526971,0.9087136929460581,0.9087136929460581,0.9294605809128631,0.91294365762491,0.01704995119403619,5
5185,0.16049487590789796,0.03617970374723039,0.009679722785949706,0.0076816711651784735,False,entropy,,10,20,20,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 20, 'random_state': 69}",0.9132231404958677,0.8925619834710744,0.921161825726141,0.9045643153526971,0.8796680497925311,0.941908713692946,0.91701244813278,0.9253112033195021,0.9087136929460581,0.9253112033195021,0.91294365762491,0.016851833715886638,5
5177,0.18416941165924072,0.019538901004475934,0.01046898365020752,0.005329933364660626,False,entropy,,10,10,30,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 30, 'random_state': 69}",0.9090909090909091,0.8884297520661157,0.91701244813278,0.9128630705394191,0.8838174273858921,0.9377593360995851,0.9087136929460581,0.9253112033195021,0.91701244813278,0.9253112033195021,0.9125321491032544,0.01560499474958165,9
5186,0.1959608793258667,0.028364160103851472,0.007730841636657715,0.0020444800988681064,False,entropy,,10,20,30,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 30, 'random_state': 69}",0.9090909090909091,0.8884297520661157,0.91701244813278,0.9128630705394191,0.8838174273858921,0.9377593360995851,0.9087136929460581,0.9253112033195021,0.91701244813278,0.9253112033195021,0.9125321491032544,0.01560499474958165,9
