,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
373,519.0,186.54,25.0,34,6.1,3.74,59.16,54.94,43.42
374,1283.0,186.54,23.0,5,1.27,4.04,47.27,49.92,0.0
375,648.0,186.54,24.0,1,1.56,2.32,55.9,49.82,40.0
376,846.0,186.54,26.0,12,3.33,7.59,56.26,44.93,26.32
377,280.83,186.54,25.0,10,2.94,5.39,54.7,49.56,16.67
378,223.0,173.92,30.0,31,4.8,4.57,54.35,45.42,46.25
379,209.0,186.54,29.0,81,8.86,4.99,58.68,53.21,52.61
380,84.0,178.0,22.0,72,2.84,5.25,56.9,51.51,55.98
381,24.0,175.0,17.0,24,9.61,8.44,57.32,50.59,67.74
382,1106.0,173.92,25.0,21,1.77,4.8,51.23,42.35,32.14
383,1178.5,186.54,20.0,5,1.04,3.37,55.46,54.55,40.0
384,1693.0,186.54,23.0,5,1.47,2.74,53.93,54.03,0.0
385,545.4,186.54,22.0,4,0.7,7.97,55.72,48.89,20.0
386,425.0,186.54,31.0,30,6.94,3.9,62.05,57.44,50.7
387,290.0,173.92,23.0,6,3.27,6.62,48.8,45.07,27.27
388,733.0,173.92,29.0,13,1.53,8.22,53.95,46.44,12.5
389,157.0,173.92,23.0,17,4.55,6.09,50.38,50.35,45.71
390,253.0,173.92,26.0,3,0.48,4.76,50.27,49.74,30.0
391,1508.67,186.54,25.0,5,0.58,9.49,48.59,48.87,0.0
392,316.0,186.54,18.0,5,1.31,8.94,52.54,48.19,63.16
393,265.0,173.92,30.0,51,7.18,5.15,51.12,46.02,46.1
394,125.0,173.92,22.0,27,5.52,3.53,55.45,50.28,38.3
395,1114.0,186.54,23.0,4,3.54,5.51,59.23,53.91,37.5
396,-1.0,186.54,23.0,3,0.3,5.06,57.89,59.32,50.0
397,140.0,172.0,29.0,88,4.02,3.86,57.72,54.66,53.64
398,1239.12,186.54,31.0,8,2.06,8.1,58.87,51.9,47.06
399,474.0,186.54,21.0,11,3.73,3.3,54.76,49.09,20.0
400,720.91,186.54,27.0,3,1.91,8.23,56.64,51.64,54.55
401,535.0,186.54,20.0,8,2.99,7.83,56.5,53.59,46.67
402,111.0,186.54,22.0,50,8.26,3.32,61.22,57.23,58.18
403,805.25,186.54,21.0,5,2.16,2.04,60.67,42.01,37.5
404,1392.0,186.54,20.0,2,0.62,4.51,54.46,45.4,40.0
405,929.0,196.0,31.0,60,11.21,4.67,60.9,56.62,49.65
406,898.0,170.0,26.0,9,2.39,5.8,62.18,53.91,57.14
407,767.0,186.54,24.0,6,0.63,4.26,50.79,48.4,37.5
408,507.0,175.0,31.0,19,2.52,5.03,56.34,56.72,44.44
409,106.0,191.0,25.0,100,8.42,2.52,60.93,58.56,54.49
410,24.0,175.0,31.0,76,8.84,3.67,61.23,60.13,61.65
411,615.0,185.0,35.0,76,5.13,7.27,55.5,50.95,49.21
412,1425.4,186.54,27.0,4,1.47,4.5,55.52,54.29,20.0
413,1096.83,186.54,18.0,3,3.91,8.36,61.02,63.92,50.0
414,246.0,186.54,27.0,91,6.99,4.91,61.02,56.54,51.76
415,459.0,186.54,21.0,8,0.67,3.54,55.78,49.42,52.38
416,1916.0,186.54,21.0,6,0.75,9.08,47.14,35.57,18.18
417,1530.0,186.54,37.0,47,5.43,5.25,57.53,55.9,40.91
418,743.0,186.54,29.0,42,4.78,6.77,56.65,52.26,48.08
419,854.41,186.54,20.0,4,1.15,4.47,58.61,47.0,47.06
420,1179.0,186.54,18.0,3,0.49,7.71,47.28,35.02,40.0
421,487.0,186.54,25.0,4,2.63,5.39,61.33,54.14,50.0
422,1263.25,186.54,32.0,4,1.33,6.14,50.06,56.8,33.33
423,196.95,181.0,34.0,21,3.64,6.74,51.62,45.04,46.34
424,668.0,186.54,25.0,6,0.7,9.15,53.33,42.44,46.15
425,1670.64,186.54,28.0,5,0.63,4.02,56.77,46.9,45.45
426,277.0,173.92,30.0,31,2.87,5.14,54.16,51.83,48.28
427,31.0,178.0,27.0,41,6.81,5.02,54.23,48.66,59.63
428,1118.07,186.54,25.0,6,1.19,4.18,57.57,55.8,35.71
429,76.0,169.0,26.0,59,7.03,6.52,52.41,48.37,43.02
430,905.81,186.54,18.0,8,1.92,4.01,59.19,57.16,37.5
431,1486.0,186.54,25.0,7,1.17,5.65,57.08,52.06,22.22
432,512.0,186.54,27.0,17,3.0,4.32,59.95,48.56,37.84
433,411.0,166.0,26.0,41,4.83,7.51,53.5,50.62,52.76
434,184.0,173.92,19.0,4,0.0,3.75,44.78,34.72,0.0
435,382.0,186.54,29.0,64,3.55,2.96,57.76,56.67,53.57
436,509.42,173.92,36.0,10,1.15,5.79,44.7,43.13,0.0
437,1016.12,186.54,23.0,4,1.39,6.22,57.7,57.47,37.5
438,28.0,170.0,24.0,48,4.83,6.75,52.23,47.24,59.25
439,484.0,173.92,18.0,4,0.81,8.53,49.0,47.47,33.33
440,1998.0,186.54,29.0,4,4.51,6.02,60.44,38.09,0.0
441,40.19,175.0,37.0,36,3.62,4.74,60.84,57.47,54.73
442,1541.83,186.54,25.0,3,0.53,6.46,43.36,38.44,16.67
443,37.0,180.0,30.0,51,8.79,4.23,60.94,55.79,62.78
444,273.53,185.0,35.0,31,1.16,3.99,56.57,53.57,42.42
445,-1.0,186.54,27.0,10,2.62,9.86,59.44,55.1,26.67
446,1205.22,186.54,26.0,6,2.92,10.06,58.24,46.08,22.22
447,868.0,186.54,24.0,27,4.44,5.34,55.33,51.5,21.62
448,498.0,186.54,25.0,16,2.02,3.91,59.8,43.46,46.88
449,436.0,186.54,25.0,20,4.5,5.81,55.54,44.56,44.44
450,1206.33,186.54,26.0,3,0.75,5.54,56.49,48.58,50.0
451,1425.0,186.54,27.0,23,2.74,5.66,58.28,47.33,44.0
452,1129.0,186.54,22.0,6,1.93,6.17,55.41,39.82,0.0
453,659.0,186.54,23.0,7,0.92,6.62,52.76,46.24,38.46
454,1998.0,186.54,25.0,4,0.67,3.98,58.9,62.59,42.86
455,79.0,175.0,21.0,51,6.09,7.33,56.26,48.82,58.45
456,463.0,186.54,31.0,36,3.46,5.29,59.25,58.43,46.9
457,241.0,173.92,22.0,12,0.08,7.41,48.88,50.83,33.33
458,802.27,186.54,26.0,9,1.33,5.81,56.67,58.17,18.18
459,603.0,173.92,23.0,14,5.28,2.4,51.43,45.65,33.33
460,565.77,186.54,21.0,5,0.89,6.67,54.95,55.81,53.85
461,374.0,173.92,25.0,18,2.69,4.02,51.27,40.99,41.38
462,647.0,186.54,24.0,5,1.65,8.77,56.79,45.02,37.5
463,252.0,188.0,34.0,100,13.56,2.44,62.07,56.55,47.04
464,90.0,180.0,29.0,87,11.37,4.54,60.24,52.54,54.06
465,878.97,190.0,32.0,14,2.61,6.19,55.76,47.72,38.71
466,13.0,185.0,22.0,75,13.05,6.47,64.78,61.92,57.19
467,371.0,186.54,28.0,42,4.65,4.02,55.92,53.54,42.11
468,487.0,173.92,27.0,30,3.57,6.59,52.0,43.43,43.33
469,467.0,173.92,25.0,18,1.32,3.24,51.71,38.99,37.84
470,493.6,186.54,28.0,16,1.42,4.67,59.53,46.61,53.49
471,116.0,186.54,27.0,78,9.86,4.03,58.94,51.37,52.0
472,815.0,186.54,27.0,54,16.18,5.13,60.59,57.13,42.22
473,506.6,186.54,30.0,31,3.01,4.72,59.43,51.56,50.68
474,198.0,173.92,28.0,8,0.89,3.66,55.66,56.32,33.33
475,276.0,173.92,21.0,21,2.99,6.28,54.54,55.83,38.78
476,1230.0,186.54,19.0,1,1.93,4.98,53.66,58.04,33.33
477,697.0,186.54,28.0,52,4.52,3.48,57.66,51.6,45.11
478,354.0,173.92,28.0,16,1.92,7.0,49.48,41.58,20.83
479,194.0,173.92,18.0,6,3.9,4.1,54.52,55.7,23.08
480,563.0,186.54,28.0,21,4.88,3.44,58.36,56.03,31.43
481,16.0,170.0,28.0,60,7.13,3.92,59.56,55.02,59.51
482,188.0,186.54,27.0,57,3.19,4.31,59.1,54.6,54.04
483,952.0,186.54,20.0,4,0.86,4.73,51.69,48.88,33.33
484,878.56,186.54,26.0,13,1.45,5.7,57.11,51.38,48.15
485,398.22,186.54,31.0,7,1.83,4.47,52.82,46.53,22.22
486,162.0,186.54,24.0,85,3.85,4.16,59.36,53.51,53.22
487,1087.29,186.54,28.0,13,1.55,12.0,46.93,39.7,23.53
488,534.46,185.0,34.0,16,5.56,3.65,58.15,61.71,35.71
489,258.0,186.54,18.0,8,3.52,3.64,64.92,54.47,61.11
490,1433.0,186.54,22.0,10,2.38,6.13,53.86,54.64,26.92
491,62.0,180.0,27.0,74,6.15,4.88,60.09,56.13,54.8
492,379.25,186.54,24.0,6,1.01,12.04,45.94,33.81,0.0
493,1324.4,186.54,26.0,1,0.17,4.07,55.52,30.33,60.0
494,24.57,161.0,30.0,39,2.9,5.19,55.44,53.39,61.41
495,445.0,183.0,32.0,57,8.95,6.6,57.17,52.88,47.42
496,97.0,179.0,25.0,62,10.21,7.74,55.66,52.31,53.52
497,568.57,193.0,30.0,3,1.86,1.87,60.46,58.26,42.86
498,894.0,186.54,21.0,6,1.15,5.76,47.78,43.87,6.67
499,1234.0,186.54,24.0,5,1.47,5.43,56.65,52.73,45.45
500,843.0,186.54,28.0,30,1.7,2.8,53.54,49.52,42.86
501,410.0,186.54,23.0,4,1.93,4.38,55.24,52.96,28.57
502,365.0,186.54,22.0,65,7.38,5.15,57.78,52.76,48.18
503,380.0,175.0,36.0,63,5.26,4.16,59.06,53.91,56.52
504,253.0,186.54,20.0,22,1.52,3.58,58.45,58.17,59.26
505,337.0,196.0,36.0,67,10.19,6.63,60.96,53.82,51.13
506,467.0,186.54,24.0,49,4.96,5.53,59.58,54.79,45.69
507,457.0,173.92,25.0,11,1.67,4.89,53.06,38.99,18.18
508,831.0,186.54,27.0,32,3.62,5.38,61.37,58.37,51.28
509,180.14,188.0,32.0,12,3.43,2.64,60.53,51.18,40.91
510,332.0,186.54,26.0,12,1.49,2.65,55.35,42.46,40.91
511,897.0,186.54,26.0,10,1.74,6.3,52.98,46.83,37.5
512,880.29,186.54,22.0,7,0.42,6.67,44.84,42.52,0.0
513,727.0,186.54,29.0,26,4.29,5.06,61.62,57.98,41.3
514,1321.08,186.54,29.0,5,1.03,3.32,59.95,58.32,50.0
515,370.67,186.54,30.0,29,2.84,3.17,62.57,53.8,49.46
516,1280.0,186.54,24.0,3,1.61,5.37,55.21,43.36,14.29
517,33.0,175.0,26.0,54,10.45,8.02,56.0,52.77,55.7
518,37.7,178.0,30.0,32,6.52,4.97,55.33,52.01,50.71
519,413.0,173.92,27.0,5,0.23,6.18,40.64,37.92,0.0
520,161.0,173.92,29.0,33,5.32,3.34,50.0,49.02,41.27
521,85.0,173.92,23.0,23,3.94,8.0,52.3,53.54,61.18
522,531.0,173.92,19.0,6,0.02,4.94,46.11,36.05,16.67
523,19.0,184.0,22.0,39,10.03,4.83,59.57,56.75,66.01
524,308.0,176.0,34.0,29,8.6,5.25,55.8,55.67,55.88
525,366.0,173.92,19.0,16,1.38,6.76,52.66,48.29,66.67
526,168.0,186.54,25.0,100,9.82,4.58,59.01,53.34,55.48
527,6.0,174.0,26.0,52,6.97,4.05,57.56,54.41,70.19
528,141.0,173.92,20.0,19,1.52,4.61,54.81,57.31,61.82
529,20.0,179.0,25.0,63,7.14,6.27,57.03,54.44,64.05
530,309.0,173.92,31.0,40,4.17,1.87,52.0,49.09,36.9
531,146.78,173.92,21.0,16,3.6,8.0,53.49,48.86,51.35
532,199.0,173.92,25.0,29,5.8,6.25,54.59,48.93,40.35
533,420.0,173.92,23.0,6,1.18,6.66,46.7,44.5,20.0
534,363.0,186.54,22.0,73,11.77,3.53,56.72,52.85,46.15
535,429.0,186.54,28.0,17,4.29,4.01,62.87,55.73,42.11
536,360.0,173.92,18.0,4,3.4,7.18,48.85,57.64,14.29
537,1358.0,186.54,21.0,4,1.65,3.18,56.89,44.82,42.86
538,72.0,188.0,22.0,58,5.53,5.45,61.93,54.45,61.9
539,256.0,173.92,20.0,9,0.33,5.47,50.25,52.69,29.41
540,707.29,173.92,19.0,7,0.17,8.28,62.59,67.79,85.71
541,351.0,186.54,19.0,10,4.71,5.32,60.62,48.8,57.69
542,590.0,173.92,37.0,13,1.7,9.12,44.87,40.74,21.05
543,240.0,173.92,28.0,9,2.38,4.49,57.6,58.53,35.71
544,281.0,173.92,20.0,9,1.08,5.14,50.38,53.72,30.77
545,23.0,175.0,18.0,4,4.01,5.44,54.87,54.63,58.33
546,204.0,173.92,20.0,26,3.02,5.61,53.43,42.83,50.0
547,585.0,173.92,23.0,8,1.45,4.54,54.5,45.22,30.77
548,-1.0,186.54,43.0,12,0.5,13.09,38.92,38.24,7.69
549,626.0,186.54,23.0,23,6.48,2.71,58.16,52.78,30.77
550,222.79,186.54,28.0,76,10.42,5.41,61.61,57.26,48.97
551,183.0,186.54,26.0,63,12.19,4.15,59.97,54.19,55.97
552,1530.0,186.54,22.0,2,6.05,3.27,61.82,63.31,44.44
553,302.0,186.54,22.0,18,2.25,5.16,52.95,52.61,39.02
554,361.0,173.92,27.0,21,2.06,3.21,52.06,49.81,39.58
555,1002.08,186.54,24.0,5,1.27,5.96,57.98,45.19,58.33
556,371.98,186.54,28.0,19,2.75,4.41,61.75,58.85,51.02
557,609.0,186.54,28.0,29,1.43,3.17,54.86,49.05,44.64
558,593.0,173.92,29.0,7,0.6,3.88,47.19,46.37,33.33
559,161.0,186.54,25.0,81,16.22,4.32,63.59,58.46,55.68
560,196.0,190.0,32.0,70,12.61,7.97,59.66,55.07,43.56
561,-1.0,186.54,23.0,1,2.55,7.15,57.07,31.33,40.0
562,2115.0,186.54,22.0,6,1.42,7.04,53.4,49.38,27.27
563,507.0,173.92,23.0,8,0.54,4.34,52.57,40.59,40.0
564,231.0,178.0,27.0,53,6.32,4.61,54.09,49.1,51.67
565,310.0,173.92,21.0,6,9.72,3.75,54.63,34.62,12.5
566,276.0,186.54,23.0,32,7.3,5.21,58.07,58.13,46.67
567,708.0,186.54,24.0,16,7.5,3.22,61.54,50.02,26.09
568,509.0,185.0,29.0,68,5.49,2.59,61.23,56.86,41.3
569,624.0,186.54,28.0,40,4.84,2.5,57.97,56.17,45.54
570,692.0,186.54,21.0,15,2.66,3.17,58.06,56.28,25.93
571,304.0,186.54,24.0,30,6.25,6.23,57.49,49.27,40.0
572,1128.0,173.92,30.0,49,3.75,5.92,49.86,47.63,38.26
573,171.0,185.0,31.0,109,12.24,3.12,61.72,55.07,49.37
574,518.83,186.54,21.0,3,1.82,4.24,57.21,54.3,50.0
575,280.0,186.54,27.0,93,6.12,5.86,59.49,54.49,46.64
576,731.77,186.54,28.0,15,0.58,2.2,53.98,51.09,34.62
577,816.0,186.54,25.0,35,7.43,4.39,58.8,52.48,43.48
578,182.31,186.54,32.0,10,7.98,4.38,61.91,53.48,31.25
579,695.79,186.54,29.0,22,2.93,6.81,59.39,48.24,47.17
580,502.0,186.54,28.0,30,2.47,5.26,58.16,50.29,33.33
581,514.0,186.54,28.0,64,3.54,4.18,58.21,52.03,46.88
582,81.0,183.0,31.0,81,8.29,5.17,60.72,59.77,61.6
583,341.0,186.54,20.0,12,2.71,6.95,59.46,46.52,51.35
584,210.0,186.54,28.0,64,6.01,4.59,56.74,50.0,44.74
585,591.0,186.54,23.0,25,2.64,3.05,57.62,51.91,34.38
586,270.0,173.92,26.0,15,3.64,8.0,49.57,48.91,42.86
587,409.0,173.92,24.0,17,4.24,3.33,51.4,44.37,37.74
588,344.0,172.0,22.0,41,11.07,6.26,54.14,48.99,48.96
589,211.0,173.92,31.0,3,0.81,4.55,56.03,57.82,33.33
590,547.0,186.54,20.0,5,1.86,7.36,56.36,58.14,12.5
591,74.0,186.54,29.0,88,5.07,3.76,57.9,54.0,57.53
592,151.0,186.54,29.0,117,9.19,5.0,60.73,55.97,50.57
593,789.0,186.54,20.0,3,0.22,4.07,49.97,46.86,20.0
594,600.0,186.54,33.0,24,2.72,5.21,56.98,52.71,39.29
595,1326.0,186.54,25.0,20,2.14,4.05,57.76,51.17,42.31
596,182.0,186.54,23.0,37,9.71,3.05,58.84,51.5,51.65
597,12.0,193.0,21.0,79,16.26,5.85,63.14,57.37,59.55
598,513.0,186.54,24.0,10,5.84,8.7,58.04,57.67,45.83
599,844.0,173.92,26.0,4,0.03,6.6,54.35,48.67,60.0
600,286.0,173.92,23.0,9,0.87,3.72,49.63,24.95,50.0
601,585.23,180.0,31.0,26,2.23,6.27,54.44,43.73,35.42
602,144.0,188.0,37.0,62,15.07,5.02,62.17,57.87,50.4
603,1284.0,186.54,20.0,4,1.0,3.4,50.12,34.7,28.57
604,810.0,186.54,24.0,3,2.71,3.79,65.6,41.83,28.57
605,326.0,186.54,19.0,21,1.59,2.93,58.71,51.15,52.63
606,198.0,186.54,28.0,86,6.75,4.83,56.91,51.21,51.64
607,433.0,186.54,26.0,60,6.04,5.43,54.49,51.06,44.44
608,589.0,186.54,21.0,9,3.13,3.9,59.27,43.46,43.75
609,759.88,186.54,21.0,4,1.17,5.81,57.53,64.3,50.0
610,401.0,186.54,25.0,63,5.92,3.93,59.38,53.2,46.5
611,211.46,183.0,35.0,18,0.43,2.86,56.39,50.45,51.28
612,1207.0,186.54,29.0,14,1.27,8.76,53.5,49.93,33.33
613,1321.0,173.92,23.0,4,0.0,6.56,38.73,43.44,0.0
614,101.0,170.0,24.0,49,2.57,3.17,50.97,47.54,52.41
615,226.88,173.0,34.0,17,1.45,3.62,54.77,49.81,44.12
616,219.0,186.54,19.0,19,3.67,5.51,56.15,47.72,47.62
617,1271.0,186.54,27.0,3,2.49,2.71,59.0,44.69,0.0
618,1284.0,186.54,23.0,3,4.73,10.06,54.59,40.86,0.0
619,104.73,190.0,34.0,37,4.63,2.65,59.87,56.64,46.61
620,861.0,186.54,22.0,4,1.23,11.8,53.39,38.75,20.0
621,189.0,173.92,23.0,29,5.44,4.45,54.74,48.8,41.67
622,156.0,173.92,20.0,13,2.25,7.84,53.03,55.32,40.91
623,117.21,166.0,38.0,33,3.25,7.18,53.81,47.96,46.05
624,943.35,186.54,21.0,15,1.37,3.52,56.34,38.77,20.0
625,325.0,186.54,22.0,21,5.5,6.14,58.66,54.49,54.24
626,599.0,186.54,20.0,8,1.49,5.06,57.06,56.89,30.77
627,825.0,186.54,29.0,16,1.55,3.52,59.31,57.75,51.43
628,1742.0,186.54,25.0,5,2.67,8.39,53.54,34.31,33.33
629,376.0,173.92,19.0,11,0.18,1.89,51.78,49.92,45.45
630,369.11,186.54,19.0,5,1.47,3.19,58.32,62.46,44.44
631,892.0,186.54,24.0,8,2.23,2.95,53.11,44.65,15.38
632,113.0,186.54,22.0,34,6.59,4.71,59.09,51.96,64.29
633,208.0,186.54,28.0,25,1.31,6.13,54.8,50.93,46.3
634,793.0,186.54,21.0,4,1.01,3.6,58.84,57.01,44.44
635,333.0,173.92,24.0,24,5.42,4.2,53.05,53.38,48.28
636,300.67,185.0,35.0,29,7.16,3.86,62.61,59.73,55.17
637,498.55,193.0,40.0,6,2.15,2.52,58.27,61.88,45.45
638,267.22,193.0,31.0,52,3.6,2.76,62.35,55.29,52.76
639,732.39,186.54,23.0,9,2.57,7.81,60.3,53.86,47.83
640,205.0,186.54,26.0,71,4.37,2.8,58.52,55.43,52.97
641,805.0,178.0,34.0,8,1.75,2.63,54.14,43.18,28.57
642,496.45,190.0,37.0,42,2.94,4.37,60.01,54.82,60.8
643,1964.4,186.54,26.0,2,1.17,8.63,63.97,57.15,40.0
644,762.0,173.92,21.0,3,4.53,6.53,53.03,56.99,0.0
645,1437.0,186.54,27.0,12,4.42,5.3,55.11,55.29,34.78
646,936.0,186.54,26.0,4,0.31,3.68,58.69,58.89,45.45
647,647.0,186.54,24.0,5,3.69,4.69,57.75,55.64,50.0
648,279.0,173.92,27.0,18,0.32,6.9,44.95,48.44,33.33
649,716.0,173.92,29.0,31,3.25,4.82,50.88,47.79,30.77
650,232.0,173.92,25.0,10,1.33,5.66,52.25,45.56,26.67
651,576.0,173.92,20.0,3,12.18,4.59,54.62,45.31,16.67
652,641.0,173.92,21.0,6,3.38,8.98,46.42,51.24,12.5
653,21.0,193.0,34.0,47,11.35,5.16,62.81,58.16,64.08
654,516.0,186.54,26.0,13,2.15,2.95,56.85,44.19,22.22
655,269.15,183.0,34.0,17,3.92,3.15,50.0,52.0,25.0
656,5.0,182.0,27.0,45,6.58,4.22,58.02,56.05,66.32
657,985.0,186.54,19.0,3,1.23,3.93,54.78,42.6,40.0
658,511.58,186.54,25.0,10,2.98,4.72,57.7,61.27,54.84
659,323.0,186.54,23.0,15,1.43,3.13,58.34,54.06,57.78
660,1081.0,186.54,25.0,4,1.72,1.86,57.44,50.25,37.5
661,283.0,186.54,23.0,63,6.09,5.48,57.44,50.79,39.57
662,1402.0,186.54,21.0,4,1.58,5.49,56.37,47.22,33.33
663,1023.0,186.54,25.0,5,2.43,4.35,60.07,65.69,0.0
664,687.25,186.54,28.0,11,3.31,3.83,59.83,58.16,53.12
665,227.0,173.92,29.0,30,14.72,5.31,56.18,54.8,45.71
666,297.0,186.54,31.0,62,3.68,3.89,60.26,56.11,59.54
667,988.0,186.54,30.0,47,1.62,4.14,57.51,51.96,40.43
668,589.0,186.54,26.0,13,2.86,3.64,59.39,54.09,37.93
669,344.24,186.54,29.0,22,1.24,2.89,56.46,53.62,52.17
670,744.0,186.54,19.0,4,1.41,4.93,56.63,56.53,20.0
671,203.0,186.54,23.0,68,5.62,5.76,58.07,55.53,50.0
672,1212.0,186.54,23.0,20,1.18,5.39,57.91,56.13,46.0
673,68.0,185.0,26.0,93,12.19,4.22,61.35,57.85,56.07
674,244.94,186.54,29.0,10,2.82,3.76,54.98,58.65,41.18
675,585.0,186.54,23.0,60,7.74,3.69,58.95,53.7,53.46
676,1201.0,185.0,26.0,13,2.54,2.63,60.52,52.34,54.55
677,1292.0,186.54,28.0,16,3.45,5.59,59.57,55.34,36.67
678,372.0,186.54,25.0,14,4.15,4.48,60.79,61.8,44.83
679,37.19,193.0,35.0,36,20.79,5.43,66.29,61.05,54.68
680,122.0,183.0,36.0,59,7.18,3.75,58.8,55.33,49.06
681,879.44,186.54,27.0,6,0.77,4.5,55.91,50.16,33.33
682,954.0,186.54,23.0,6,3.36,4.71,59.55,46.09,12.5
683,435.0,186.54,23.0,16,2.25,5.31,59.4,57.08,41.38
684,295.2,193.0,34.0,19,1.7,5.16,57.42,53.69,26.67
685,193.0,173.92,33.0,25,1.79,6.15,49.5,43.55,49.32
686,567.0,173.92,28.0,20,0.78,2.03,50.97,49.95,38.46
687,243.0,186.54,19.0,30,6.09,2.97,61.36,54.2,53.41
688,2104.0,186.54,20.0,3,2.65,6.86,46.45,37.54,14.29
689,737.0,186.54,31.0,58,7.21,3.89,57.27,50.31,50.34
690,239.0,178.0,36.0,69,5.28,3.01,60.94,56.68,55.56
691,1387.0,186.54,33.0,3,0.27,10.51,48.37,54.11,16.67
692,299.0,186.54,26.0,108,3.67,4.58,57.84,54.3,36.77
693,651.65,186.54,24.0,4,1.49,2.94,63.27,63.67,70.59
694,483.0,186.54,26.0,22,2.52,4.19,55.5,49.23,49.21
695,490.0,186.54,20.0,8,7.28,3.03,52.56,42.9,33.33
696,169.0,173.92,27.0,26,2.1,2.5,53.2,45.39,39.62
697,69.0,173.92,24.0,34,4.72,4.96,55.73,53.69,57.89
698,699.52,190.0,28.0,17,2.73,6.11,59.18,60.84,50.0
699,164.96,183.0,30.0,32,5.05,4.19,61.71,53.97,54.17
700,1113.0,186.54,26.0,22,3.69,4.67,58.7,55.88,46.43
701,403.88,173.92,40.0,7,1.6,8.72,54.81,49.78,52.94
702,22.0,188.0,30.0,41,10.86,4.88,64.39,59.35,60.65
703,-1.0,186.54,20.0,5,1.12,4.3,45.23,47.81,0.0
704,824.0,186.54,23.0,11,3.06,4.02,56.21,50.51,14.29
705,946.67,183.0,30.0,11,3.65,5.16,56.11,44.12,27.78
706,268.0,186.54,29.0,78,6.8,5.07,59.04,57.92,55.64
707,80.0,185.0,31.0,68,9.53,3.14,61.29,58.6,51.92
708,588.31,186.54,31.0,10,2.52,5.64,57.45,50.33,46.15
709,456.0,188.0,38.0,89,6.46,5.42,60.16,55.24,49.22
710,421.57,186.54,30.0,11,1.57,3.59,60.71,56.0,63.33
711,625.17,186.54,28.0,4,2.04,3.33,63.26,54.87,41.67
712,2010.4,186.54,19.0,4,1.3,7.8,53.13,50.99,20.0
713,654.0,186.54,20.0,5,1.8,4.77,65.75,72.85,71.43
714,166.0,173.92,19.0,15,10.14,6.82,58.19,56.44,50.0
715,1331.0,186.54,23.0,3,0.79,3.97,48.67,48.43,37.5
716,670.0,186.54,18.0,5,1.05,5.25,55.47,63.94,37.5
717,239.0,173.92,23.0,5,0.86,7.57,51.27,46.43,38.46
718,856.9,186.54,29.0,22,3.06,5.33,57.96,57.48,25.0
719,332.28,186.54,29.0,28,1.67,4.03,58.09,57.9,40.43
720,-1.0,186.54,19.0,3,1.04,3.72,48.01,32.57,40.0
721,1514.0,186.54,18.0,6,2.86,2.75,50.66,53.66,0.0
722,583.0,173.92,21.0,6,0.56,7.88,47.45,39.58,38.89
723,1499.79,186.54,22.0,6,3.46,4.89,57.45,45.59,35.71
724,109.0,173.92,23.0,23,3.94,3.19,50.9,41.45,45.28
725,420.0,186.54,18.0,8,3.98,3.45,62.8,64.67,55.56
726,696.0,186.54,32.0,34,6.11,3.14,58.42,50.84,43.28
727,136.0,173.92,25.0,30,8.03,5.44,53.78,54.18,45.56
728,989.0,186.54,25.0,5,3.73,11.08,56.64,69.83,54.55
729,451.0,186.54,25.0,31,6.29,5.59,60.16,50.27,40.24
730,407.0,173.92,25.0,4,0.52,6.46,46.92,54.43,16.67
731,73.0,170.0,29.0,58,8.4,5.0,54.28,52.35,47.47
732,1500.0,186.54,21.0,4,2.39,6.41,63.33,60.64,28.57
733,103.0,186.54,29.0,105,8.92,5.03,59.92,54.22,54.12
734,505.6,186.54,21.0,2,1.09,5.1,55.58,58.91,40.0
735,444.0,186.54,25.0,4,1.05,4.72,55.4,51.3,33.33
736,961.0,186.54,23.0,7,1.2,6.21,61.43,54.71,22.22
737,859.38,186.54,22.0,3,2.13,3.17,59.16,24.56,50.0
738,333.0,186.54,27.0,31,0.41,1.98,52.8,48.47,38.36
739,1268.0,186.54,34.0,2,1.33,2.38,71.98,67.66,66.67
740,320.0,186.54,30.0,87,6.4,4.48,57.89,53.17,45.91
741,483.0,173.92,28.0,22,1.34,6.07,51.0,44.67,33.33
742,1049.0,186.54,27.0,14,1.4,6.35,53.69,48.7,41.38
743,121.0,186.54,18.0,26,5.99,4.18,56.1,52.93,63.64
744,1821.0,186.54,26.0,6,0.66,3.15,56.14,64.28,36.84
745,84.42,188.0,33.0,59,9.21,3.18,63.72,57.32,53.85
746,-1.0,186.54,28.0,11,1.74,4.84,56.54,55.1,27.78
747,10.0,196.0,24.0,80,12.51,4.22,63.74,60.58,59.74
748,128.0,186.54,28.0,67,6.37,2.54,58.55,54.47,58.65
749,1020.43,186.54,22.0,4,0.17,7.2,50.25,46.21,28.57
750,107.0,186.54,20.0,36,6.31,3.99,56.17,49.81,49.44
751,184.0,186.54,25.0,71,10.36,4.09,60.2,53.18,50.85
752,679.0,186.54,29.0,35,5.5,4.28,59.36,59.19,52.43
753,1458.2,186.54,23.0,4,2.41,4.63,55.94,48.2,20.0
754,991.09,186.54,24.0,6,1.54,3.36,61.24,65.19,45.45
755,1821.0,186.54,27.0,8,2.82,4.93,54.3,50.32,11.11
756,493.0,186.54,24.0,51,7.44,4.66,59.6,51.56,60.77
757,11.0,176.0,20.0,28,6.74,4.38,58.17,52.53,71.3
