,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
86,207.0,186.54,24.0,72,5.21,3.57,58.51,52.56,50.8
87,1502.42,186.54,30.0,7,3.45,3.47,61.23,50.84,41.67
88,316.3,186.54,28.0,19,4.26,7.65,58.69,53.9,48.65
89,870.89,186.54,24.0,5,1.78,6.28,56.32,44.45,44.44
90,77.0,196.0,22.0,78,10.68,5.07,63.11,60.36,54.63
91,-1.0,193.0,37.0,7,2.29,12.77,45.54,47.98,0.0
92,466.0,186.54,21.0,10,6.57,4.2,58.34,50.08,31.25
93,629.38,186.54,24.0,16,3.2,5.56,58.32,53.13,37.93
94,1110.0,186.54,20.0,4,1.06,2.95,57.96,46.18,28.57
95,336.0,186.54,22.0,16,3.17,4.61,58.48,56.47,50.0
96,338.0,186.54,24.0,9,2.15,4.72,55.43,53.89,26.67
97,619.0,186.54,31.0,10,1.89,3.02,58.06,60.36,42.11
98,86.0,173.92,27.0,66,6.54,6.8,53.62,49.13,53.53
99,458.5,173.92,33.0,8,1.36,8.79,45.2,45.87,10.0
100,-1.0,173.92,21.0,6,0.06,17.19,37.79,43.78,0.0
101,175.0,173.92,23.0,27,5.87,2.74,54.58,49.31,46.58
102,736.0,173.92,29.0,6,2.68,5.65,50.75,51.97,30.0
103,50.0,173.0,31.0,51,4.47,6.04,54.71,51.01,50.85
104,61.0,173.0,27.0,58,8.74,3.76,55.23,52.22,48.13
105,60.0,173.0,31.0,62,3.68,6.0,53.25,52.18,53.56
106,819.0,173.92,28.0,11,0.81,4.76,46.18,50.06,38.46
107,110.0,181.0,32.0,57,12.05,4.04,62.24,56.97,57.75
108,243.69,173.92,30.0,20,3.09,6.95,51.97,47.06,46.67
109,244.0,173.92,26.0,26,4.65,7.11,46.75,43.34,37.29
110,164.0,186.54,24.0,46,8.11,5.23,58.67,51.49,57.81
111,344.0,186.54,24.0,5,2.6,5.73,55.74,60.13,40.0
112,235.0,173.92,20.0,5,5.67,13.35,58.59,56.07,50.0
113,-1.0,186.54,19.0,7,1.69,11.31,53.99,58.02,18.18
114,83.0,180.0,19.0,32,4.07,4.82,56.23,57.73,59.84
115,170.0,173.92,28.0,30,6.15,5.95,51.63,48.57,41.1
116,304.0,173.92,21.0,3,0.43,3.01,45.72,46.78,33.33
117,1742.0,186.54,20.0,7,0.52,7.35,50.18,38.57,20.0
118,192.22,188.0,33.0,30,2.6,2.61,53.88,47.55,40.74
119,189.15,173.92,29.0,17,2.06,5.36,53.52,50.52,38.24
120,-1.0,173.92,24.0,5,0.02,4.29,62.65,40.35,60.0
121,106.0,173.92,28.0,57,5.3,3.4,55.76,53.21,51.5
122,19.97,183.0,28.0,16,4.34,6.6,54.21,48.03,48.39
123,67.0,173.92,23.0,45,7.14,7.37,53.79,50.77,57.59
124,287.0,173.92,27.0,8,0.98,6.59,45.68,45.88,25.0
125,146.0,173.92,22.0,10,1.16,8.02,50.74,49.47,54.84
126,459.0,173.92,29.0,6,1.51,0.69,50.39,49.41,0.0
127,16.0,177.0,30.0,52,7.03,6.34,55.25,51.85,55.91
128,232.12,173.92,27.0,10,0.71,9.83,52.48,48.77,31.25
129,68.0,175.0,20.0,42,5.01,7.36,51.33,47.7,53.66
130,557.33,167.0,36.0,13,1.85,5.85,50.69,48.18,29.17
131,205.0,173.92,19.0,4,0.77,7.92,41.34,39.98,28.57
132,490.0,173.92,21.0,8,0.49,5.92,49.28,46.79,33.33
133,65.0,169.0,31.0,55,5.24,3.51,54.44,51.28,57.24
134,325.0,173.92,23.0,10,2.42,5.95,44.9,41.93,29.17
135,-1.0,188.0,33.0,1,1.15,5.7,63.73,54.84,83.33
136,252.23,193.0,35.0,43,2.0,4.15,58.92,53.39,41.98
137,477.43,186.54,25.0,8,3.36,7.03,55.02,41.25,28.57
138,1621.0,186.54,31.0,7,0.98,3.45,57.11,48.33,55.0
139,259.0,186.54,33.0,103,4.18,3.64,59.91,54.75,44.59
140,618.0,186.54,25.0,30,5.53,3.66,59.73,58.75,47.76
141,262.0,186.54,29.0,81,6.62,4.79,59.93,53.54,49.59
142,1712.0,186.54,19.0,3,0.83,6.4,43.01,36.05,0.0
143,359.0,173.92,27.0,19,0.46,2.37,49.43,44.6,29.03
144,871.0,186.54,19.0,9,0.69,5.64,54.46,46.96,25.0
145,335.97,174.0,31.0,12,2.07,6.57,52.85,46.46,51.52
146,249.0,173.92,26.0,4,1.3,7.38,54.97,53.18,55.56
147,218.0,186.54,24.0,72,8.26,3.98,57.82,52.57,43.94
148,75.0,180.0,33.0,57,6.53,5.25,53.6,48.44,50.45
149,298.0,186.54,26.0,50,6.78,6.1,60.28,55.69,51.54
150,347.0,190.0,30.0,12,3.29,4.56,61.23,57.16,61.29
151,452.53,190.0,31.0,32,7.9,6.0,56.09,50.5,42.19
152,1147.92,186.54,28.0,7,1.51,5.81,59.73,64.38,50.0
153,98.0,190.0,37.0,80,11.61,3.53,61.04,58.6,49.64
154,667.02,186.54,27.0,21,3.9,5.28,60.67,56.67,40.48
155,1735.0,186.54,22.0,3,2.03,4.26,57.29,50.87,33.33
156,117.0,180.0,31.0,98,5.55,4.16,58.08,53.8,54.43
157,756.0,173.92,34.0,7,0.91,7.24,43.03,33.17,0.0
158,663.0,186.54,25.0,18,4.46,4.07,61.91,56.37,39.39
159,759.14,186.54,31.0,26,2.57,5.22,57.12,54.88,48.28
160,1114.77,186.54,28.0,11,1.29,5.4,49.72,41.87,22.73
161,1042.0,186.54,21.0,3,2.79,3.39,60.53,51.95,20.0
162,356.0,186.54,26.0,43,4.17,3.9,60.93,49.63,51.67
163,666.0,186.54,19.0,3,3.21,5.42,56.26,54.81,12.5
164,260.07,186.54,25.0,39,8.01,6.21,61.5,60.31,47.47
165,940.0,185.0,33.0,36,2.27,5.17,55.76,52.41,38.81
166,290.0,185.0,30.0,48,9.41,4.4,62.19,56.67,53.57
167,6.0,188.0,23.0,75,11.25,4.32,62.91,59.78,63.43
168,1334.9,186.54,27.0,18,3.39,16.28,34.28,26.12,0.0
169,479.98,186.54,28.0,20,3.95,6.4,63.08,53.21,47.5
170,156.0,190.0,34.0,36,10.49,3.55,63.37,57.67,75.98
171,14.0,174.0,25.0,60,9.32,5.3,56.98,51.33,61.25
172,602.0,173.92,32.0,4,0.6,6.16,46.94,50.01,0.0
173,12.0,173.0,33.0,43,4.26,5.12,56.2,53.88,66.67
174,59.0,173.92,24.0,27,2.81,6.35,51.88,45.84,51.39
175,604.09,186.54,28.0,6,0.96,4.01,57.12,50.73,18.18
176,1100.0,186.54,21.0,2,3.28,5.91,60.68,52.08,40.0
177,195.0,173.92,28.0,39,1.09,2.24,51.68,49.23,40.45
178,48.0,170.0,21.0,20,5.64,4.1,54.85,44.55,57.89
179,158.0,173.92,22.0,52,8.47,7.59,53.46,52.47,52.94
180,133.0,173.92,24.0,16,3.1,4.45,55.31,53.52,40.0
181,313.0,173.92,26.0,15,2.82,6.61,49.8,41.91,27.27
182,114.0,173.92,22.0,40,6.36,5.65,55.17,52.12,51.91
183,82.0,173.92,26.0,53,3.92,6.74,50.66,47.03,48.3
184,137.0,173.92,27.0,37,5.94,4.84,55.45,51.31,50.44
185,626.0,173.92,26.0,3,0.3,9.97,47.02,49.51,33.33
186,125.21,171.0,29.0,17,2.66,7.75,47.89,49.18,32.14
187,320.0,173.92,30.0,19,7.03,5.48,56.0,57.73,40.91
188,540.0,173.92,31.0,5,0.98,3.65,53.02,59.94,28.57
189,55.52,170.0,23.0,35,2.33,5.05,48.54,41.04,42.17
190,272.09,186.54,28.0,6,2.0,4.16,54.22,44.39,45.45
191,448.0,186.54,24.0,19,2.39,4.5,58.03,54.02,40.62
192,538.0,186.54,20.0,19,3.95,3.17,58.68,53.57,29.03
193,334.0,186.54,29.0,42,6.96,5.51,58.04,54.91,52.34
194,1944.29,186.54,29.0,5,1.05,14.96,44.49,37.59,14.29
195,1621.0,186.54,26.0,12,1.68,8.95,47.08,45.72,0.0
196,595.94,186.54,29.0,5,0.56,1.99,63.72,56.21,68.75
197,398.0,173.92,24.0,33,5.19,4.5,56.87,45.05,54.92
198,951.0,186.54,22.0,10,1.0,4.45,54.08,55.47,35.0
199,-1.0,186.54,34.0,3,1.42,5.85,57.11,44.82,37.5
200,1449.0,186.54,24.0,2,1.77,6.74,47.33,47.74,20.0
201,1625.5,186.54,22.0,3,6.55,17.98,46.97,44.5,33.33
202,1172.64,186.54,21.0,7,1.76,3.13,51.41,44.43,27.27
203,882.88,186.54,40.0,6,0.36,4.86,62.88,73.98,75.0
204,62.0,180.0,30.0,51,4.2,5.12,53.83,52.94,50.63
205,928.14,186.54,29.0,3,1.65,4.39,67.15,43.71,42.86
206,160.0,173.92,31.0,43,3.93,6.51,49.3,42.66,40.0
207,798.0,186.54,27.0,24,3.45,3.77,60.37,57.77,37.5
208,2084.0,186.54,22.0,6,2.25,5.05,56.7,48.66,45.45
209,1821.0,193.0,28.0,5,3.01,4.02,51.98,37.02,16.67
210,472.0,186.54,22.0,21,2.68,3.7,59.57,58.36,51.02
211,707.4,186.54,31.0,4,1.94,8.56,55.49,57.21,0.0
212,901.0,186.54,30.0,25,1.82,7.92,56.25,49.26,39.58
213,2061.3,186.54,25.0,9,0.92,14.78,28.54,19.23,10.0
214,318.0,186.54,19.0,14,5.0,1.23,59.75,54.46,42.31
215,499.0,186.54,28.0,85,8.24,4.09,57.31,55.97,51.13
216,718.0,186.54,18.0,3,4.05,2.29,66.24,56.85,40.0
217,65.0,186.54,26.0,56,11.28,3.25,64.7,58.62,60.0
218,1071.0,186.54,21.0,3,3.99,3.64,64.3,46.03,28.57
219,2.0,182.0,23.0,60,9.05,7.65,58.46,55.98,67.42
220,1.0,166.0,25.0,40,12.33,4.73,62.38,56.66,77.86
221,278.11,173.92,20.0,9,3.88,9.17,49.43,48.22,22.22
222,216.0,173.92,30.0,33,9.19,4.47,55.82,52.81,43.75
223,19.0,185.0,27.0,80,10.98,5.87,60.89,54.32,57.21
224,96.0,173.92,25.0,31,5.83,4.15,56.56,53.08,49.44
225,452.0,173.92,25.0,4,1.7,6.88,46.91,13.86,37.5
226,1821.0,186.54,24.0,5,2.81,10.26,51.34,50.68,11.11
227,244.05,186.54,28.0,47,9.72,4.34,63.28,54.25,45.61
228,900.0,186.54,19.0,7,5.78,5.43,55.48,52.58,25.0
229,290.46,186.54,27.0,45,0.99,3.42,55.3,54.8,43.62
230,925.0,173.92,22.0,6,0.72,6.12,44.7,31.69,33.33
231,401.0,173.92,21.0,18,0.93,4.14,49.53,49.97,25.0
232,787.0,173.92,21.0,4,0.34,6.17,45.08,53.51,14.29
233,481.86,173.92,24.0,6,0.06,5.11,51.7,51.79,28.57
234,901.0,163.0,29.0,4,0.76,1.98,37.81,19.95,20.0
235,-1.0,186.54,15.0,2,0.45,4.52,53.26,44.84,40.0
236,331.0,186.54,24.0,22,2.67,4.5,60.3,57.4,44.19
237,442.0,186.54,26.0,29,6.52,3.18,57.85,51.04,47.46
238,1117.33,186.54,24.0,4,0.9,3.4,58.05,54.3,55.56
239,353.0,173.92,25.0,9,0.02,2.96,55.64,50.89,22.22
240,181.0,173.92,25.0,39,2.98,7.34,52.58,42.07,47.19
241,4.0,178.0,25.0,38,10.23,5.63,57.38,54.78,60.96
242,1155.0,173.92,24.0,15,2.28,4.36,55.51,44.57,36.67
243,302.0,164.0,34.0,43,3.64,3.63,54.69,50.33,55.88
244,900.0,173.92,26.0,22,2.77,6.85,47.49,36.21,35.42
245,542.0,186.54,24.0,17,1.59,5.09,56.42,48.77,44.19
246,1543.0,186.54,26.0,22,2.5,7.37,52.59,51.65,15.38
247,948.89,186.54,26.0,5,0.35,6.36,53.84,51.59,22.22
248,746.0,186.54,20.0,5,4.32,7.7,54.96,54.07,21.43
249,9.0,175.0,24.0,49,5.2,6.89,56.5,53.11,58.48
250,511.0,173.92,26.0,5,0.71,6.72,52.75,42.04,33.33
251,543.0,186.54,22.0,21,6.87,4.4,58.25,48.57,41.03
252,600.7,185.0,33.0,5,1.38,3.18,58.11,50.17,40.0
253,63.0,186.54,25.0,71,8.56,3.44,59.41,56.09,54.11
254,386.0,186.54,26.0,39,4.95,5.77,57.75,53.17,53.47
255,479.0,186.54,28.0,37,4.31,3.76,59.02,49.96,35.0
256,456.97,186.54,25.0,14,2.19,7.29,57.56,55.15,48.48
257,863.0,186.54,22.0,11,3.93,6.37,59.06,51.46,30.0
258,44.0,196.0,32.0,63,11.83,7.32,58.48,54.03,48.62
259,350.0,173.92,21.0,4,0.28,8.6,47.17,39.16,28.57
260,125.0,186.54,24.0,95,4.71,3.5,57.45,52.68,53.44
261,94.0,173.92,26.0,46,7.29,7.02,55.52,54.69,49.41
262,2115.0,186.54,25.0,10,1.67,5.64,52.66,44.73,7.69
263,351.0,168.0,36.0,34,8.3,3.8,54.04,53.59,41.84
264,22.0,170.0,21.0,31,5.23,5.72,55.68,50.48,72.34
265,289.0,173.92,23.0,5,1.59,9.58,44.09,54.9,37.5
266,315.0,170.0,32.0,32,3.95,7.96,51.43,48.38,39.44
267,172.0,186.54,28.0,67,8.97,3.5,62.04,57.21,56.89
268,1005.0,186.54,21.0,22,9.07,4.18,59.45,58.63,39.62
269,754.0,186.54,24.0,26,5.48,4.78,59.88,49.89,48.39
270,267.0,188.0,34.0,77,6.34,4.66,59.77,53.55,61.16
271,177.0,186.54,30.0,105,9.42,3.49,62.42,56.48,55.82
272,489.0,186.54,23.0,13,4.02,3.25,55.68,54.38,44.0
273,1383.0,186.54,21.0,4,0.37,10.8,45.24,39.77,40.0
274,399.6,175.0,26.0,9,1.89,6.68,41.16,37.6,10.0
275,2130.0,186.54,27.0,8,1.04,6.11,51.26,43.18,18.18
276,1110.33,186.54,17.0,5,0.38,6.22,50.03,37.53,0.0
277,282.0,186.54,23.0,56,10.07,4.8,63.06,61.39,57.89
