,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
851,Jesika Maleckova,CZE,f,R,242.0,173.92,26.0,9,1.17,5.48,53.78,46.0,31.58
852,Jeson Patrombon,PHI,m,R,1742.0,186.54,25.0,6,0.36,2.41,52.49,63.47,37.5
853,Jesse Huta Galung,NED,m,R,408.75,188.0,30.0,4,2.65,4.36,59.82,55.46,50.0
854,Jesse Witten,USA,m,R,1437.0,178.0,35.0,2,2.51,4.43,62.88,47.24,66.67
855,Jessica Moore,AUS,f,R,367.64,173.92,27.0,9,1.19,5.51,49.59,42.84,0.0
856,Jessica Pegula,USA,f,R,21.0,170.0,27.0,33,4.49,3.92,54.61,50.5,62.04
857,Jessica Pieri,ITA,f,U,284.0,173.92,24.0,11,0.73,2.84,49.98,46.07,45.45
858,Jessika Ponchet,FRA,f,U,206.0,173.92,24.0,16,8.96,4.02,54.72,57.18,42.5
859,Ji Hoon Son,KOR,m,U,1586.0,186.54,24.0,4,1.74,7.41,57.38,57.21,50.0
860,Ji Sung Nam,KOR,m,R,383.0,186.54,27.0,22,6.56,4.24,60.03,53.22,53.85
861,Jia Jing Lu,CHN,f,R,247.0,173.92,31.0,24,5.22,5.67,51.14,49.75,37.5
862,Jia Qi Kang,CHN,f,R,683.0,173.92,22.0,7,1.2,5.53,50.95,51.92,29.41
863,Jianhui Li,CHN,m,U,639.0,186.54,22.0,3,2.94,5.45,59.51,57.92,20.0
864,Jiaqi Duan,CHN,m,U,-1.0,186.54,24.0,4,2.25,3.92,50.45,50.99,33.33
865,Jie Cui,CHN,m,U,865.0,186.54,21.0,14,3.15,2.98,52.61,45.84,31.03
866,Jil Belen Teichmann,SUI,f,L,39.0,170.0,24.0,50,4.44,4.78,54.69,49.74,53.46
867,Jimmy Wang,TPE,m,R,438.0,178.0,33.0,17,2.32,3.59,59.89,46.57,55.1
868,Jing Jing Lu,CHN,f,R,205.85,173.92,29.0,11,0.82,6.61,52.68,49.93,51.52
869,Jirat Navasirisomboon,THA,m,R,1621.0,186.54,23.0,8,0.46,5.11,50.37,34.26,35.71
870,Jiri Lehecka,CZE,m,R,167.0,186.54,19.0,15,2.57,3.76,61.27,55.6,61.4
871,Jiri Vesely,CZE,m,L,78.0,198.0,28.0,84,17.89,5.09,62.92,58.66,55.03
872,Joao Domingues,POR,m,R,227.0,186.54,27.0,68,4.24,2.38,56.67,53.17,46.67
873,Joao Menezes,BRA,m,R,233.0,186.54,24.0,67,7.3,2.88,59.74,55.9,50.3
874,Joao Monteiro,POR,m,U,935.0,186.54,26.0,13,3.39,2.57,55.26,49.64,22.73
875,Joao Pedro Sorgi,BRA,m,R,842.0,186.54,27.0,40,3.29,4.6,59.75,53.45,50.42
876,Joao Souza,BRA,m,R,1194.0,193.0,30.0,54,5.78,3.65,62.29,55.69,50.89
877,Jodie Anna Burrage,GBR,f,R,222.0,173.92,22.0,8,8.95,4.33,50.19,41.14,23.53
878,Joe Salisbury,GBR,m,U,728.3,186.54,25.0,13,1.82,5.92,58.97,52.5,34.78
879,Joffrey De Schepper,FRA,m,U,1387.0,186.54,26.0,6,3.4,3.31,60.71,58.99,31.25
880,Johan Nikles,SUI,m,R,349.0,186.54,24.0,7,0.76,5.5,52.91,52.88,43.75
881,Johan Sebastien Tatlot,FRA,m,U,665.0,186.54,23.0,30,2.65,6.7,56.36,48.51,48.53
882,Johannes Haerteis,GER,m,U,427.0,186.54,25.0,42,6.91,6.78,58.19,54.9,47.27
883,John Lamble,USA,m,U,863.53,186.54,25.0,8,1.26,5.99,56.0,56.1,35.29
884,John Mcnally,USA,m,U,736.0,186.54,21.0,7,10.32,3.45,62.22,55.14,38.46
885,John Millman,AUS,m,R,57.0,183.0,32.0,83,6.98,2.4,60.87,56.57,54.77
886,John Patrick Smith,AUS,m,L,375.0,186.54,31.0,71,6.08,2.44,62.29,59.32,47.85
887,John Paul Fruttero,USA,m,R,-1.0,185.0,38.0,5,3.21,4.74,57.63,60.24,0.0
888,Jonas Eriksson Ziverts,SWE,m,R,956.0,186.54,18.0,2,2.13,9.5,59.34,70.62,40.0
889,Jonas Forejtek,CZE,m,R,310.0,186.54,20.0,22,5.39,2.55,59.47,56.43,45.1
890,Jonas Luetjen,GER,m,U,543.56,186.54,27.0,7,2.7,4.51,63.51,57.86,61.11
891,Jonathan Chang,USA,m,U,1270.38,186.54,27.0,6,0.81,3.45,50.71,45.87,0.0
892,Jonathan Eysseric,FRA,m,L,608.0,180.0,31.0,40,3.66,5.39,55.34,52.17,40.0
893,Jonathan Gray,GBR,m,U,997.0,186.54,21.0,6,1.27,2.53,54.79,55.01,14.29
894,Jonathan Kanar,FRA,m,U,592.07,186.54,24.0,8,1.33,6.88,54.39,43.69,40.0
895,Jonathan Mridha,SWE,m,R,511.0,186.54,26.0,11,6.08,3.33,62.0,57.92,48.0
896,Jonny Omara,GBR,m,R,627.08,186.54,22.0,4,1.79,9.4,62.26,60.6,50.0
897,Jordan Correia Passos Do Carmo,BRA,m,U,664.0,186.54,22.0,8,1.79,5.8,41.66,34.95,0.0
898,Jordi Arconada,ARG,m,R,656.0,186.54,24.0,14,3.98,4.67,57.57,49.55,20.0
899,Jordi Munoz Abreu,VEN,m,U,1294.0,186.54,30.0,10,1.45,6.64,51.08,43.86,25.0
900,Jordi Samper Montana,ESP,m,U,1251.0,186.54,29.0,44,3.34,4.08,54.74,47.92,39.76
901,Jorge Brian Panta Herreros,PER,m,U,738.0,186.54,25.0,11,2.45,4.23,53.23,53.66,16.67
902,Jorge Hernando Ruano,ESP,m,U,813.0,186.54,31.0,1,1.78,6.88,59.82,44.22,40.0
903,Jorge Montero,CHI,m,R,809.84,186.54,28.0,16,1.62,5.55,59.51,57.93,41.94
904,Joris De Loore,BEL,m,R,956.0,186.54,25.0,53,3.87,3.71,64.25,58.98,58.7
905,Jose Antonio Rodriguez Rodriguez,MEX,m,U,1543.55,186.54,22.0,7,1.33,12.97,49.53,45.82,18.18
906,Jose Daniel Bendeck,COL,m,R,1586.0,186.54,25.0,5,0.98,9.88,48.32,53.01,28.57
907,Jose Fco Vidal Azorin,ESP,m,U,504.0,186.54,28.0,7,0.56,4.87,52.88,60.41,41.67
908,Jose Fernando Carvajal Torres,COL,m,R,1753.0,186.54,19.0,6,1.13,12.73,43.43,36.9,22.22
909,Jose Hernandez,DOM,m,U,518.0,186.54,29.0,69,2.27,3.66,57.51,54.24,50.72
910,Jose Olivares,DOM,m,R,963.0,186.54,22.0,7,2.8,3.23,61.04,52.12,35.29
911,Jose Pereira,BRA,m,R,706.0,186.54,27.0,13,1.86,2.81,56.2,57.36,36.0
912,Jose Rubin Statham,NZL,m,R,394.12,183.0,32.0,45,4.05,4.08,60.98,51.2,47.41
913,Joshua Milton,GBR,m,R,375.65,186.54,26.0,6,1.58,5.74,58.26,49.12,52.94
914,Joshua Paris,GBR,m,R,1134.0,186.54,22.0,3,1.59,2.75,60.55,49.9,20.0
915,Joshua Peck,CAN,m,U,1153.0,186.54,21.0,6,5.88,8.87,60.78,56.19,25.0
916,Jovana Jaksic,SRB,f,R,387.0,173.92,27.0,21,3.44,4.84,52.22,45.12,27.03
917,Jozef Kovalik,SVK,m,R,134.0,186.54,28.0,88,7.41,3.74,59.7,54.52,54.37
918,Juan Alejandro Hernandez Serrano,MEX,m,R,689.0,186.54,22.0,5,1.82,6.6,52.95,48.17,0.0
