,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
76,Alexander Vasilenko,RUS,m,R,930.0,186.54,24.0,8,3.04,7.14,59.22,53.59,54.55
77,Alexander Ward,GBR,m,U,388.38,186.54,28.0,30,2.32,4.84,57.24,55.57,43.94
78,Alexander Weis,ITA,m,U,531.0,186.54,21.0,3,1.1,4.33,53.26,43.7,40.0
79,Alexander Zhurbin,RUS,m,U,732.0,186.54,29.0,39,4.06,4.16,55.11,49.22,37.33
80,Alexandr Dolgopolov,UKR,m,R,52.03,180.0,29.0,32,10.11,4.57,61.45,55.47,53.0
81,Alexandr Igoshin,RUS,m,U,834.0,186.54,29.0,17,2.64,9.37,54.95,51.63,29.17
82,Alexandra Cadantu,ROU,f,R,209.0,170.0,31.0,22,1.66,6.28,47.83,41.64,45.45
83,Alexandra Dulgheru,ROU,f,R,364.0,173.92,32.0,20,3.75,5.72,47.8,47.64,40.74
84,Alexandra Panova,RUS,f,R,303.54,173.92,30.0,14,2.48,2.17,58.7,49.68,37.5
85,Alexandre Aubriot,FRA,m,R,1826.8,186.54,21.0,4,1.98,5.04,55.02,47.71,20.0
86,Alexandre Muller,FRA,m,R,207.0,186.54,24.0,72,5.21,3.57,58.51,52.56,50.8
87,Alexandre Penaud,FRA,m,U,1502.42,186.54,30.0,7,3.45,3.47,61.23,50.84,41.67
88,Alexandre Sidorenko,FRA,m,R,316.3,186.54,28.0,19,4.26,7.65,58.69,53.9,48.65
89,Alexandre Tsuchiya,BRA,m,U,870.89,186.54,24.0,5,1.78,6.28,56.32,44.45,44.44
90,Alexei Popyrin,AUS,m,R,77.0,196.0,22.0,78,10.68,5.07,63.11,60.36,54.63
91,Alexey Kedryuk,KAZ,m,R,-1.0,193.0,37.0,7,2.29,12.77,45.54,47.98,0.0
92,Alexey Zakharov,RUS,m,R,466.0,186.54,21.0,10,6.57,4.2,58.34,50.08,31.25
93,Alexios Halebian,USA,m,L,629.38,186.54,24.0,16,3.2,5.56,58.32,53.13,37.93
94,Alexis Canter,GBR,m,U,1110.0,186.54,20.0,4,1.06,2.95,57.96,46.18,28.57
95,Alexis Galarneau,CAN,m,R,336.0,186.54,22.0,16,3.17,4.61,58.48,56.47,50.0
96,Alexis Gautier,FRA,m,U,338.0,186.54,24.0,9,2.15,4.72,55.43,53.89,26.67
97,Alexis Musialek,FRA,m,U,619.0,186.54,31.0,10,1.89,3.02,58.06,60.36,42.11
98,Aliaksandra Sasnovich,BLR,f,R,86.0,173.92,27.0,66,6.54,6.8,53.62,49.13,53.53
99,Alicja Rosolska,POL,f,R,458.5,173.92,33.0,8,1.36,8.79,45.2,45.87,10.0
100,Alina Lazareva,KGZ,f,U,-1.0,173.92,21.0,6,0.06,17.19,37.79,43.78,0.0
101,Aliona Bolsova,MDA,f,R,175.0,173.92,23.0,27,5.87,2.74,54.58,49.31,46.58
102,Alison Bai,AUS,f,R,736.0,173.92,29.0,6,2.68,5.65,50.75,51.97,30.0
103,Alison Riske,USA,f,R,50.0,173.0,31.0,51,4.47,6.04,54.71,51.01,50.85
104,Alison Van Uytvanck,BEL,f,R,61.0,173.0,27.0,58,8.74,3.76,55.23,52.22,48.13
105,Alize Cornet,FRA,f,R,60.0,173.0,31.0,62,3.68,6.0,53.25,52.18,53.56
106,Alize Lim,FRA,f,R,819.0,173.92,28.0,11,0.81,4.76,46.18,50.06,38.46
107,Aljaz Bedene,SLO,m,R,110.0,181.0,32.0,57,12.05,4.04,62.24,56.97,57.75
108,Alla Kudryavtseva,RUS,f,R,243.69,173.92,30.0,20,3.09,6.95,51.97,47.06,46.67
109,Allie Kiick,USA,f,R,244.0,173.92,26.0,26,4.65,7.11,46.75,43.34,37.29
110,Altug Celikbilek,TUR,m,U,164.0,186.54,24.0,46,8.11,5.23,58.67,51.49,57.81
111,Alvaro Lopez San Martin,ESP,m,R,344.0,186.54,24.0,5,2.6,5.73,55.74,60.13,40.0
112,Alycia Parks,USA,f,U,235.0,173.92,20.0,5,5.67,13.35,58.59,56.07,50.0
113,Amal Sultanbekov,UZB,m,U,-1.0,186.54,19.0,7,1.69,11.31,53.99,58.02,18.18
114,Amanda Anisimova,USA,f,R,83.0,180.0,19.0,32,4.07,4.82,56.23,57.73,59.84
115,Amandine Hesse,FRA,f,R,170.0,173.92,28.0,30,6.15,5.95,51.63,48.57,41.1
116,Amina Anshba,RUS,f,L,304.0,173.92,21.0,3,0.43,3.01,45.72,46.78,33.33
117,Amine Ahouda,MAR,m,U,1742.0,186.54,20.0,7,0.52,7.35,50.18,38.57,20.0
118,Amir Weintraub,ISR,m,R,192.22,188.0,33.0,30,2.6,2.61,53.88,47.55,40.74
119,Amra Sadikovic,SUI,f,R,189.15,173.92,29.0,17,2.06,5.36,53.52,50.52,38.24
120,Amreetha Muttiah,SRI,f,U,-1.0,173.92,24.0,5,0.02,4.29,62.65,40.35,60.0
121,Ana Bogdan,ROU,f,R,106.0,173.92,28.0,57,5.3,3.4,55.76,53.21,51.5
122,Ana Ivanovic,SRB,f,R,19.97,183.0,28.0,16,4.34,6.6,54.21,48.03,48.39
123,Ana Konjuh,CRO,f,R,67.0,173.92,23.0,45,7.14,7.37,53.79,50.77,57.59
124,Ana Sofia Sanchez,MEX,f,L,287.0,173.92,27.0,8,0.98,6.59,45.68,45.88,25.0
125,Anastasia Gasanova,RUS,f,U,146.0,173.92,22.0,10,1.16,8.02,50.74,49.47,54.84
126,Anastasia Grymalska,ITA,f,R,459.0,173.92,29.0,6,1.51,0.69,50.39,49.41,0.0
127,Anastasia Pavlyuchenkova,RUS,f,R,16.0,177.0,30.0,52,7.03,6.34,55.25,51.85,55.91
128,Anastasia Pivovarova,RUS,f,R,232.12,173.92,27.0,10,0.71,9.83,52.48,48.77,31.25
129,Anastasia Potapova,RUS,f,R,68.0,175.0,20.0,42,5.01,7.36,51.33,47.7,53.66
130,Anastasia Rodionova,AUS,f,R,557.33,167.0,36.0,13,1.85,5.85,50.69,48.18,29.17
131,Anastasia Zakharova,RUS,f,U,205.0,173.92,19.0,4,0.77,7.92,41.34,39.98,28.57
132,Anastasia Zarytska,UKR,f,U,490.0,173.92,21.0,8,0.49,5.92,49.28,46.79,33.33
133,Anastasija Sevastova,LAT,f,R,65.0,169.0,31.0,55,5.24,3.51,54.44,51.28,57.24
134,Anastasiya Komardina,RUS,f,L,325.0,173.92,23.0,10,2.42,5.95,44.9,41.93,29.17
135,Andre Begemann,GER,m,R,-1.0,188.0,33.0,1,1.15,5.7,63.73,54.84,83.33
136,Andre Ghem,BRA,m,R,252.23,193.0,35.0,43,2.0,4.15,58.92,53.39,41.98
137,Andre Goransson,SWE,m,U,477.43,186.54,25.0,8,3.36,7.03,55.02,41.25,28.57
138,Andre Miele,BRA,m,R,1621.0,186.54,31.0,7,0.98,3.45,57.11,48.33,55.0
139,Andrea Arnaboldi,ITA,m,L,259.0,186.54,33.0,103,4.18,3.64,59.91,54.75,44.59
140,Andrea Basso,ITA,m,L,618.0,186.54,25.0,30,5.53,3.66,59.73,58.75,47.76
141,Andrea Collarini,ARG,m,L,262.0,186.54,29.0,81,6.62,4.79,59.93,53.54,49.59
142,Andrea Del Federico,ITA,m,R,1712.0,186.54,19.0,3,0.83,6.4,43.01,36.05,0.0
143,Andrea Gamiz,VEN,f,R,359.0,173.92,27.0,19,0.46,2.37,49.43,44.6,29.03
144,Andrea Guerrieri,ITA,m,L,871.0,186.54,19.0,9,0.69,5.64,54.46,46.96,25.0
145,Andrea Hlavackova,CZE,f,R,335.97,174.0,31.0,12,2.07,6.57,52.85,46.46,51.52
146,Andrea Lazaro Garcia,ESP,f,R,249.0,173.92,26.0,4,1.3,7.38,54.97,53.18,55.56
147,Andrea Pellegrino,ITA,m,R,218.0,186.54,24.0,72,8.26,3.98,57.82,52.57,43.94
148,Andrea Petkovic,GER,f,R,75.0,180.0,33.0,57,6.53,5.25,53.6,48.44,50.45
149,Andrea Vavassori,ITA,m,U,298.0,186.54,26.0,50,6.78,6.1,60.28,55.69,51.54
150,Andreas Beck,GER,m,L,347.0,190.0,30.0,12,3.29,4.56,61.23,57.16,61.29
151,Andreas Haider Maurer,AUT,m,R,452.53,190.0,31.0,32,7.9,6.0,56.09,50.5,42.19
152,Andreas Mies,GER,m,U,1147.92,186.54,28.0,7,1.51,5.81,59.73,64.38,50.0
153,Andreas Seppi,ITA,m,R,98.0,190.0,37.0,80,11.61,3.53,61.04,58.6,49.64
154,Andrei Vasilevski,BLR,m,R,667.02,186.54,27.0,21,3.9,5.28,60.67,56.67,40.48
155,Andrej Glvac,SVK,m,U,1735.0,186.54,22.0,3,2.03,4.26,57.29,50.87,33.33
156,Andrej Martin,SVK,m,R,117.0,180.0,31.0,98,5.55,4.16,58.08,53.8,54.43
157,Andreja Klepac,SLO,f,R,756.0,173.92,34.0,7,0.91,7.24,43.03,33.17,0.0
158,Andres Artunedo Martinavarro,ESP,m,R,663.0,186.54,25.0,18,4.46,4.07,61.91,56.37,39.39
159,Andres Molteni,ARG,m,R,759.14,186.54,31.0,26,2.57,5.22,57.12,54.88,48.28
160,Andrew Carter,USA,m,U,1114.77,186.54,28.0,11,1.29,5.4,49.72,41.87,22.73
161,Andrew Fenty,USA,m,R,1042.0,186.54,21.0,3,2.79,3.39,60.53,51.95,20.0
162,Andrew Harris,AUS,m,R,356.0,186.54,26.0,43,4.17,3.9,60.93,49.63,51.67
163,Andrew Paulson,CZE,m,U,666.0,186.54,19.0,3,3.21,5.42,56.26,54.81,12.5
164,Andrew Whittington,AUS,m,R,260.07,186.54,25.0,39,8.01,6.21,61.5,60.31,47.47
165,Andrey Golubev,KAZ,m,R,940.0,185.0,33.0,36,2.27,5.17,55.76,52.41,38.81
166,Andrey Kuznetsov,RUS,m,R,290.0,185.0,30.0,48,9.41,4.4,62.19,56.67,53.57
167,Andrey Rublev,RUS,m,R,6.0,188.0,23.0,75,11.25,4.32,62.91,59.78,63.43
168,Andrey Yakovlev,RUS,m,R,1334.9,186.54,27.0,18,3.39,16.28,34.28,26.12,0.0
169,Andriej Kapas,POL,m,R,479.98,186.54,28.0,20,3.95,6.4,63.08,53.21,47.5
170,Andy Murray,GBR,m,R,156.0,190.0,34.0,36,10.49,3.55,63.37,57.67,75.98
171,Anett Kontaveit,EST,f,R,14.0,174.0,25.0,60,9.32,5.3,56.98,51.33,61.25
172,Angelina Gabueva,RUS,f,U,602.0,173.92,32.0,4,0.6,6.16,46.94,50.01,0.0
173,Angelique Kerber,GER,f,L,12.0,173.0,33.0,43,4.26,5.12,56.2,53.88,66.67
174,Anhelina Kalinina,UKR,f,R,59.0,173.92,24.0,27,2.81,6.35,51.88,45.84,51.39
175,Anil Yuksel,TUR,m,L,604.09,186.54,28.0,6,0.96,4.01,57.12,50.73,18.18
176,Anirudh Chandrasekar,IND,m,L,1100.0,186.54,21.0,2,3.28,5.91,60.68,52.08,40.0
177,Ankita Raina,IND,f,R,195.0,173.92,28.0,39,1.09,2.24,51.68,49.23,40.45
178,Ann Li,USA,f,R,48.0,170.0,21.0,20,5.64,4.1,54.85,44.55,57.89
179,Anna Blinkova,RUS,f,R,158.0,173.92,22.0,52,8.47,7.59,53.46,52.47,52.94
180,Anna Bondar,HUN,f,R,133.0,173.92,24.0,16,3.1,4.45,55.31,53.52,40.0
181,Anna Danilina,KAZ,f,R,313.0,173.92,26.0,15,2.82,6.61,49.8,41.91,27.27
182,Anna Kalinskaya,RUS,f,R,114.0,173.92,22.0,40,6.36,5.65,55.17,52.12,51.91
183,Anna Karolina Schmiedlova,SVK,f,R,82.0,173.92,26.0,53,3.92,6.74,50.66,47.03,48.3
184,Anna Lena Friedsam,GER,f,R,137.0,173.92,27.0,37,5.94,4.84,55.45,51.31,50.44
185,Anna Morgina,RUS,f,R,626.0,173.92,26.0,3,0.3,9.97,47.02,49.51,33.33
186,Anna Tatishvili,GEO,f,R,125.21,171.0,29.0,17,2.66,7.75,47.89,49.18,32.14
187,Anna Zaja,GER,f,R,320.0,173.92,30.0,19,7.03,5.48,56.0,57.73,40.91
188,Anne Schaefer,GER,f,R,540.0,173.92,31.0,5,0.98,3.65,53.02,59.94,28.57
189,Annika Beck,GER,f,R,55.52,170.0,23.0,35,2.33,5.05,48.54,41.04,42.17
190,Antal Van Der Duim,NED,m,R,272.09,186.54,28.0,6,2.0,4.16,54.22,44.39,45.45
191,Antoine Bellier,SUI,m,U,448.0,186.54,24.0,19,2.39,4.5,58.03,54.02,40.62
192,Antoine Cornut Chauvinc,FRA,m,U,538.0,186.54,20.0,19,3.95,3.17,58.68,53.57,29.03
193,Antoine Escoffier,FRA,m,U,334.0,186.54,29.0,42,6.96,5.51,58.04,54.91,52.34
194,Antoine Leduc,CAN,m,U,1944.29,186.54,29.0,5,1.05,14.96,44.49,37.59,14.29
195,Anton Chekhov,RUS,m,R,1621.0,186.54,26.0,12,1.68,8.95,47.08,45.72,0.0
196,Anton Zaitsev,RUS,m,U,595.94,186.54,29.0,5,0.56,1.99,63.72,56.21,68.75
197,Antonia Lottner,GER,f,R,398.0,173.92,24.0,33,5.19,4.5,56.87,45.05,54.92
198,Antonio Massara,ITA,m,R,951.0,186.54,22.0,10,1.0,4.45,54.08,55.47,35.0
199,Antonio Ruiz Rosales,MEX,m,R,-1.0,186.54,34.0,3,1.42,5.85,57.11,44.82,37.5
200,Anvit Bendre,IND,m,U,1449.0,186.54,24.0,2,1.77,6.74,47.33,47.74,20.0
201,Aoran Wang,CHN,m,R,1625.5,186.54,22.0,3,6.55,17.98,46.97,44.5,33.33
202,Aoxiong Wang,CHN,m,R,1172.64,186.54,21.0,7,1.76,3.13,51.41,44.43,27.27
203,Aqeel Khan,PAK,m,R,882.88,186.54,40.0,6,0.36,4.86,62.88,73.98,75.0
204,Arantxa Rus,NED,f,L,62.0,180.0,30.0,51,4.2,5.12,53.83,52.94,50.63
205,Arata Onozawa,JPN,m,U,928.14,186.54,29.0,3,1.65,4.39,67.15,43.71,42.86
206,Arina Rodionova,RUS,f,R,160.0,173.92,31.0,43,3.93,6.51,49.3,42.66,40.0
207,Arjun Kadhe,IND,m,R,798.0,186.54,27.0,24,3.45,3.77,60.37,57.77,37.5
208,Aron Hiltzik,USA,m,U,2084.0,186.54,22.0,6,2.25,5.05,56.7,48.66,45.45
209,Arsenije Zlatanovic,SRB,m,R,1821.0,193.0,28.0,5,3.01,4.02,51.98,37.02,16.67
210,Artem Dubrivnyy,RUS,m,R,472.0,186.54,22.0,21,2.68,3.7,59.57,58.36,51.02
211,Artem Sitak,NZL,m,R,707.4,186.54,31.0,4,1.94,8.56,55.49,57.21,0.0
212,Artem Smirnov,UKR,m,U,901.0,186.54,30.0,25,1.82,7.92,56.25,49.26,39.58
213,Artem Strokan,RUS,m,U,2061.3,186.54,25.0,9,0.92,14.78,28.54,19.23,10.0
214,Arthur Cazaux,FRA,m,R,318.0,186.54,19.0,14,5.0,1.23,59.75,54.46,42.31
215,Arthur De Greef,BEL,m,R,499.0,186.54,28.0,85,8.24,4.09,57.31,55.97,51.13
216,Arthur Fery,GBR,m,R,718.0,186.54,18.0,3,4.05,2.29,66.24,56.85,40.0
217,Arthur Rinderknech,FRA,m,R,65.0,186.54,26.0,56,11.28,3.25,64.7,58.62,60.0
218,Aryan Goveas,IND,m,U,1071.0,186.54,21.0,3,3.99,3.64,64.3,46.03,28.57
219,Aryna Sabalenka,BLR,f,R,2.0,182.0,23.0,60,9.05,7.65,58.46,55.98,67.42
220,Ashleigh Barty,AUS,f,R,1.0,166.0,25.0,40,12.33,4.73,62.38,56.66,77.86
221,Ashley Kratzer,USA,f,L,278.11,173.92,20.0,9,3.88,9.17,49.43,48.22,22.22
222,Asia Muhammed,USA,f,R,216.0,173.92,30.0,33,9.19,4.47,55.82,52.81,43.75
223,Aslan Karatsev,RUS,m,R,19.0,185.0,27.0,80,10.98,5.87,60.89,54.32,57.21
224,Astra Sharma,AUS,f,R,96.0,173.92,25.0,31,5.83,4.15,56.56,53.08,49.44
225,Audrey Albie,FRA,f,R,452.0,173.92,25.0,4,1.7,6.88,46.91,13.86,37.5
226,Augusto Virgili,ITA,m,U,1821.0,186.54,24.0,5,2.81,10.26,51.34,50.68,11.11
227,Austin Krajicek,USA,m,L,244.05,186.54,28.0,47,9.72,4.34,63.28,54.25,45.61
228,Axel Geller,ARG,m,U,900.0,186.54,19.0,7,5.78,5.43,55.48,52.58,25.0
229,Axel Michon,FRA,m,L,290.46,186.54,27.0,45,0.99,3.42,55.3,54.8,43.62
230,Ayaka Okuno,JPN,f,R,925.0,173.92,22.0,6,0.72,6.12,44.7,31.69,33.33
231,Ayano Shimizu,JPN,f,U,401.0,173.92,21.0,18,0.93,4.14,49.53,49.97,25.0
232,Ayla Aksu,USA,f,R,787.0,173.92,21.0,4,0.34,6.17,45.08,53.51,14.29
233,Aymet Uzcategui,VEN,f,U,481.86,173.92,24.0,6,0.06,5.11,51.7,51.79,28.57
234,Ayumi Morita,JPN,f,R,901.0,163.0,29.0,4,0.76,1.98,37.81,19.95,20.0
235,Aziz Dadabaev,UZB,m,U,-1.0,186.54,15.0,2,0.45,4.52,53.26,44.84,40.0
236,Aziz Dougaz,TUN,m,L,331.0,186.54,24.0,22,2.67,4.5,60.3,57.4,44.19
237,Baptiste Crepatte,FRA,m,U,442.0,186.54,26.0,29,6.52,3.18,57.85,51.04,47.46
238,Bar Tzuf Botzer,ISR,m,R,1117.33,186.54,24.0,4,0.9,3.4,58.05,54.3,55.56
239,Barbara Gatica,CHI,f,U,353.0,173.92,25.0,9,0.02,2.96,55.64,50.89,22.22
240,Barbara Haas,AUT,f,R,181.0,173.92,25.0,39,2.98,7.34,52.58,42.07,47.19
241,Barbora Krejcikova,CZE,f,R,4.0,178.0,25.0,38,10.23,5.63,57.38,54.78,60.96
242,Barbora Stefkova,CZE,f,R,1155.0,173.92,24.0,15,2.28,4.36,55.51,44.57,36.67
243,Barbora Zahlavova Strycova,CZE,f,R,302.0,164.0,34.0,43,3.64,3.63,54.69,50.33,55.88
244,Basak Eraydin,TUR,f,R,900.0,173.92,26.0,22,2.77,6.85,47.49,36.21,35.42
245,Bastian Malla,CHI,m,U,542.0,186.54,24.0,17,1.59,5.09,56.42,48.77,44.19
246,Bastian Trinker,AUT,m,R,1543.0,186.54,26.0,22,2.5,7.37,52.59,51.65,15.38
247,Batyr Sapaev,UZB,m,R,948.89,186.54,26.0,5,0.35,6.36,53.84,51.59,22.22
248,Beibit Zhukayev,KAZ,m,R,746.0,186.54,20.0,5,4.32,7.7,54.96,54.07,21.43
249,Belinda Bencic,SUI,f,R,9.0,175.0,24.0,49,5.2,6.89,56.5,53.11,58.48
250,Belinda Woolcock,AUS,f,R,511.0,173.92,26.0,5,0.71,6.72,52.75,42.04,33.33
251,Ben Patael,ISR,m,U,543.0,186.54,22.0,21,6.87,4.4,58.25,48.57,41.03
252,Benjamin Balleret,MON,m,R,600.7,185.0,33.0,5,1.38,3.18,58.11,50.17,40.0
253,Benjamin Bonzi,FRA,m,R,63.0,186.54,25.0,71,8.56,3.44,59.41,56.09,54.11
254,Benjamin Hassan,GER,m,R,386.0,186.54,26.0,39,4.95,5.77,57.75,53.17,53.47
255,Benjamin Lock,ZIM,m,R,479.0,186.54,28.0,37,4.31,3.76,59.02,49.96,35.0
256,Benjamin Mitchell,AUS,m,R,456.97,186.54,25.0,14,2.19,7.29,57.56,55.15,48.48
257,Benjamin Sigouin,CAN,m,U,863.0,186.54,22.0,11,3.93,6.37,59.06,51.46,30.0
258,Benoit Paire,FRA,m,R,44.0,196.0,32.0,63,11.83,7.32,58.48,54.03,48.62
259,Berfu Cengiz,TUR,f,U,350.0,173.92,21.0,4,0.28,8.6,47.17,39.16,28.57
260,Bernabe Zapata Miralles,ESP,m,R,125.0,186.54,24.0,95,4.71,3.5,57.45,52.68,53.44
261,Bernarda Pera,USA,f,L,94.0,173.92,26.0,46,7.29,7.02,55.52,54.69,49.41
262,Bernardo Saraiva,POR,m,R,2115.0,186.54,25.0,10,1.67,5.64,52.66,44.73,7.69
263,Bethanie Mattek Sands,USA,f,R,351.0,168.0,36.0,34,8.3,3.8,54.04,53.59,41.84
264,Bianca Andreescu,CAN,f,R,22.0,170.0,21.0,31,5.23,5.72,55.68,50.48,72.34
265,Bianca Turati,ITA,f,U,289.0,173.92,23.0,5,1.59,9.58,44.09,54.9,37.5
266,Bibiane Schoofs,NED,f,R,315.0,170.0,32.0,32,3.95,7.96,51.43,48.38,39.44
267,Bjorn Fratangelo,USA,m,R,172.0,186.54,28.0,67,8.97,3.5,62.04,57.21,56.89
268,Blake Ellis,AUS,m,U,1005.0,186.54,21.0,22,9.07,4.18,59.45,58.63,39.62
269,Blake Mott,AUS,m,U,754.0,186.54,24.0,26,5.48,4.78,59.88,49.89,48.39
270,Blaz Kavcic,SLO,m,R,267.0,188.0,34.0,77,6.34,4.66,59.77,53.55,61.16
271,Blaz Rola,SLO,m,L,177.0,186.54,30.0,105,9.42,3.49,62.42,56.48,55.82
272,Bogdan Bobrov,RUS,m,U,489.0,186.54,23.0,13,4.02,3.25,55.68,54.38,44.0
273,Bogdan Borza,ROU,m,L,1383.0,186.54,21.0,4,0.37,10.8,45.24,39.77,40.0
274,Bojana Jovanovski,SRB,f,R,399.6,175.0,26.0,9,1.89,6.68,41.16,37.6,10.0
275,Boris Arias,BOL,m,R,2130.0,186.54,27.0,8,1.04,6.11,51.26,43.18,18.18
276,Boris Kozlov,USA,m,U,1110.33,186.54,17.0,5,0.38,6.22,50.03,37.53,0.0
277,Borna Gojo,CRO,m,R,282.0,186.54,23.0,56,10.07,4.8,63.06,61.39,57.89
278,Botic van de Zandschulp,NED,m,R,69.0,186.54,25.0,44,7.82,6.68,61.73,58.65,60.0
279,Bowen Ouyang,CHN,m,L,685.92,186.54,24.0,8,3.27,3.1,57.04,53.85,33.33
280,Boy Westerhof,NED,m,R,416.38,186.54,31.0,4,1.94,3.82,61.96,56.76,50.0
281,Bradley Klahn,USA,m,L,308.0,190.0,30.0,60,16.08,5.32,64.24,56.62,53.55
282,Brandon Holt,USA,m,U,698.0,186.54,22.0,12,3.77,2.38,57.74,45.5,29.17
283,Brandon Nakashima,USA,m,R,70.0,186.54,20.0,40,6.5,2.74,63.86,57.39,62.07
284,Brandon Walkin,AUS,m,R,919.0,186.54,25.0,5,5.15,4.28,62.93,63.16,40.0
285,Brayden Schnur,CAN,m,R,226.0,186.54,26.0,85,16.63,4.12,60.32,55.96,48.96
286,Breana Stampfli,TRI,f,U,1462.0,173.92,22.0,7,0.03,8.82,51.99,40.65,71.43
287,Brian Baker,USA,m,R,441.95,190.0,31.0,23,6.74,5.39,59.22,51.88,42.86
288,Brian Tran,AUS,m,U,-1.0,186.54,19.0,2,0.93,3.56,52.46,49.15,42.86
289,Bruno Britez,PAR,m,R,334.67,186.54,19.0,5,1.09,5.6,55.82,62.08,16.67
290,Bruno Santanna,BRA,m,R,818.0,186.54,26.0,19,2.43,6.37,55.38,51.89,40.54
291,Brydan Klein,AUS,m,R,508.0,183.0,30.0,50,6.85,6.32,60.57,56.61,45.73
292,Cagla Buyukakcay,TUR,f,R,246.0,172.0,31.0,38,4.17,4.0,51.68,46.71,40.2
293,Caio Silva,BRA,m,U,970.0,186.54,26.0,4,0.81,4.81,56.63,50.03,42.86
294,Caio Zampieri,BRA,m,R,310.61,183.0,31.0,29,2.91,3.35,59.13,52.33,48.44
295,Caitlin Whoriskey,USA,f,R,335.0,173.92,29.0,4,0.96,3.11,53.67,50.09,42.86
296,Calum Puttergill,AUS,m,U,882.0,186.54,26.0,6,2.45,7.26,51.75,54.17,43.48
297,Calvin Hemery,FRA,m,R,406.0,186.54,24.0,55,11.44,7.77,60.89,53.96,51.68
298,Cameron Norrie,GBR,m,L,14.0,188.0,25.0,63,7.55,4.39,60.82,56.59,59.45
299,Camila Giorgi,ITA,f,R,36.0,168.0,29.0,52,6.06,9.53,54.61,50.06,56.6
300,Camilla Rosatello,ITA,f,R,402.0,173.92,26.0,6,0.65,7.84,48.6,51.83,33.33
301,Camilo Ugo Carabelli,ARG,m,R,215.0,186.54,22.0,29,1.92,4.32,58.42,55.69,55.91
302,Cannon Kingsley,USA,m,U,681.0,186.54,18.0,5,6.39,3.11,59.21,58.01,27.27
303,Carina Witthoeft,GER,f,R,76.5,173.92,23.0,34,4.35,7.15,53.81,51.37,48.8
304,Carl Soderlund,SWE,m,R,1424.0,186.54,24.0,9,1.68,3.61,56.85,54.54,39.13
305,Carla Suarez Navarro,ESP,f,R,335.0,162.0,32.0,48,3.17,2.85,55.57,46.9,56.04
306,Carlos Alcaraz Garfia,ESP,m,R,42.0,185.0,18.0,32,4.04,3.2,59.7,54.14,70.21
307,Carlos Berlocq,ARG,m,R,123.56,183.0,36.0,57,8.08,3.29,59.14,54.62,55.83
308,Carlos Boluda Purkiss,ESP,m,R,685.0,165.0,26.0,28,1.8,3.69,55.04,54.97,37.25
309,Carlos Eduardo Severino,BRA,m,U,660.24,186.54,27.0,9,1.1,4.73,55.06,54.36,35.29
310,Carlos Gimeno Valero,ESP,m,U,293.0,186.54,20.0,12,0.86,8.07,57.72,53.29,61.76
311,Carlos Gomez Herrera,ESP,m,R,402.0,186.54,31.0,48,3.86,3.81,59.96,57.6,45.61
312,Carlos Ramirez Utermann,MEX,m,U,1315.0,186.54,22.0,8,2.31,5.55,57.26,48.87,25.0
313,Carlos Salamanca,COL,m,L,862.62,196.0,34.0,5,3.38,3.81,59.49,54.44,46.15
314,Carlos Sanchez Jover,ESP,m,R,492.0,186.54,20.0,3,0.58,3.89,61.37,56.64,60.0
315,Carlos Taberner,ESP,m,R,93.0,186.54,24.0,81,3.39,4.12,59.67,54.24,59.92
316,Carol Zhao,CAN,f,R,330.0,173.92,26.0,26,7.17,8.94,50.55,50.31,27.91
317,Carolina Meligeni Rodrigues Alves,BRA,f,U,295.0,173.92,25.0,10,0.4,2.73,47.88,44.29,45.45
318,Caroline Dolehide,USA,f,R,190.0,173.92,22.0,38,8.05,5.69,56.76,52.41,41.18
319,Caroline Garcia,FRA,f,R,74.0,177.0,27.0,66,9.56,3.91,58.1,53.26,59.49
320,Caroline Wozniacki,DEN,f,R,14.87,177.0,29.0,37,4.83,3.19,58.07,54.74,68.97
321,Carson Branstine,USA,f,R,760.0,173.92,18.0,5,2.96,7.34,51.58,49.86,0.0
322,Catalina Pella,ARG,f,R,1142.0,173.92,26.0,13,1.17,6.6,53.13,46.89,43.48
323,Catherine Cartan Bellis,USA,f,R,197.0,173.92,21.0,28,2.97,5.27,53.34,49.98,60.44
324,Catherine Harrison,USA,f,U,266.0,173.92,27.0,10,2.34,6.57,50.09,52.43,23.08
325,Catherine Leduc,CAN,f,U,1409.0,173.92,26.0,3,1.96,6.55,41.06,44.32,0.0
326,Caty Mcnally,USA,f,R,144.0,173.92,19.0,25,5.2,8.58,53.06,48.26,51.43
327,Cayetano March,ECU,m,U,704.0,186.54,20.0,3,1.7,3.61,52.66,47.71,0.0
328,Cedrik Marcel Stebe,GER,m,L,181.0,183.0,30.0,59,7.28,4.02,57.33,52.09,60.56
329,Cem Ilkel,TUR,m,R,160.0,186.54,25.0,87,9.13,3.57,59.95,51.43,48.47
330,Cengiz Aksu,TUR,m,R,1182.0,186.54,22.0,2,0.91,7.58,58.6,50.93,28.57
331,Chaleechan Tanasugarn,THA,m,R,316.29,186.54,24.0,2,1.43,7.08,47.5,39.36,14.29
332,Chan Yeong Oh,KOR,m,U,1349.7,186.54,20.0,4,1.4,3.67,53.07,52.72,20.0
333,Chandril Sood,IND,m,R,1404.0,186.54,28.0,4,1.22,9.0,52.32,53.8,28.57
